master_protein	dosage	replicate	sample_id	Light	Heavy	Ratio
Q8WUM4	150	3	150_3	22.2537851743697	20.0847253573856	2.16905981698407
Q8WVC0	150	3	150_3	24.7973426426988	21.8198687273989	2.97747391529996
Q8WVK2	150	3	150_3	22.152614613204	18.988194833064	3.16441978014007
Q8WX93	150	3	150_3	22.1997034932491	20.7364481775788	1.46325531567022
Q8WXA9	150	3	150_3	23.3262594873853	20.2146520332626	3.11160745412276
Q8WXF1	150	3	150_3	23.7047043567943	22.6571452707624	1.04755908603191
Q92541	150	3	150_3	24.827007289319	21.496345931455	3.33066135786391
Q92542	150	3	150_3	27.2462616259163	24.5194279137217	2.72683371219457
Q92597	150	3	150_3	21.9505587447089	18.6107220901623	3.33983665454667
Q92598	150	3	150_3	20.9002123252889	19.2259981714335	1.67421415385539
Q92616	150	3	150_3	21.6122176007402	18.1987739534881	3.41344364725208
Q92804	150	3	150_3	24.1160554925929	21.1054909798369	3.01056451275597
Q92879	150	3	150_3	24.0513358529031	23.0042006440509	1.0471352088522
Q92900	150	3	150_3	20.9523077306361	19.3839905475677	1.56831718306838
Q92945	150	3	150_3	24.6907565908864	23.0025032050413	1.68825338584501
Q92973	150	3	150_3	21.6230732793154	18.6842323488697	2.93884093044571
Q96AE4	150	3	150_3	22.0057810312608	21.6777361675804	0.328044863680432
Q96AY3	150	3	150_3	23.386876140311	20.5385645590967	2.84831158121428
Q96EP5	150	3	150_3	24.0156328341126	23.3804695204693	0.635163313643346
Q96I24	150	3	150_3	23.4501176033177	21.5751134409393	1.87500416237839
Q96J42	150	3	150_3	24.8098034484365	22.398587141014	2.41121630742256
Q96KR1	150	3	150_3	21.2680455162554	19.2955208873271	1.97252462892827
Q96PD2	150	3	150_3	23.376049880299	20.5655882700522	2.81046161024677
Q96PK6	150	3	150_3	22.0703886396695	21.1989605357423	0.871428103927226
Q96QD8	150	3	150_3	25.7306558753982	21.1940017269555	4.53665414844266
Q96QD9	150	3	150_3	20.1691322876419	17.6957448456801	2.47338744196175
Q96QR8	150	3	150_3	21.1709666108907	19.0935207282509	2.07744588263981
Q96ST2	150	3	150_3	25.272982488933	22.196785003913	3.07619748502
Q96T37	150	3	150_3	22.6546902152748	19.1784022572347	3.47628795804009
Q96T58	150	3	150_3	20.6293423888794	19.3259729547248	1.30336943415456
Q99442	150	3	150_3	26.1120745131189	23.4053554809385	2.70671903218039
Q99700	150	3	150_3	19.9895386379615	18.6627518108964	1.32678682706513
Q99714	150	3	150_3	23.0259035892404	20.3436266196069	2.68227696963342
Q99733	150	3	150_3	22.3241607649903	19.0945519613476	3.22960880364268
Q99808	150	3	150_3	23.3765006182664	20.2718459740904	3.10465464417593
Q9BQ39	150	3	150_3	21.4450593149123	19.5299337746478	1.91512554026447
Q9BRL6	150	3	150_3	25.3392612179899	21.3894254797379	3.94983573825191
Q9BSJ8	150	3	150_3	21.7245041255313	18.926114320842	2.79838980468935
Q9BT09	150	3	150_3	24.2982404854359	19.344729344915	4.95351114052094
Q9BTT0	150	3	150_3	26.8325530139983	23.6113089489342	3.22124406506408
Q9BU76	150	3	150_3	20.9380461333954	19.3111895313799	1.6268566020155
Q9BUF5	150	3	150_3	25.5056700774136	23.4425304886016	2.06313958881201
Q9BUJ2	150	3	150_3	21.8167524356445	19.401662861972	2.41508957367257
Q9BUQ8	150	3	150_3	25.4089352222548	21.7846454483842	3.62428977387065
Q9BW71	150	3	150_3	22.429967656872	19.055606309728	3.37436134714398
Q9BXP2	150	3	150_3	21.4415177156285	19.4785247474656	1.9629929681629
Q9BXP5	150	3	150_3	21.5587084402897	17.8231432944207	3.735565145869
Q9BXR0	150	3	150_3	25.0384193657744	22.1546821579043	2.88373720787012
Q9BXS9	150	3	150_3	21.2786672399464	18.2075291496022	3.07113809034421
Q9H1E3	150	3	150_3	27.4928912603497	23.7359405962517	3.75695066409802
Q9H307	150	3	150_3	26.4299471673689	22.6175887998474	3.81235836752155
Q9H3N1	150	3	150_3	24.5574235006922	21.6204203131901	2.93700318750218
Q9H501	150	3	150_3	22.0023013551486	17.9047757234376	4.09752563171097
Q9H6R4	150	3	150_3	20.2798009885634	18.687908721576	1.59189226698742
Q9HCG8	150	3	150_3	23.8711616813856	20.1711398639814	3.70002181740424
Q9NR30	150	3	150_3	21.8180753413327	19.0992729042444	2.71880243708827
Q9NS93	150	3	150_3	24.5661618377699	21.340823716009	3.22533812176092
Q9NT99	150	3	150_3	25.5429468549942	22.8821468801921	2.66079997480209
Q9NUM4	150	3	150_3	25.0053751619038	22.3866191540304	2.6187560078734
Q9NV96	150	3	150_3	24.6360464428577	21.3960355031898	3.24001093966794
Q9NVP1	150	3	150_3	22.8508376595563	20.1895630272973	2.66127463225899
Q9NW13	150	3	150_3	21.881894952415	18.9528122959749	2.92908265644007
Q9NWH9	150	3	150_3	23.0302909461331	21.2029369551815	1.82735399095155
Q9NYF8	150	3	150_3	24.205511424297	20.8336524360456	3.3718589882514
Q9NZB2	150	3	150_3	21.8166286171497	18.529888634362	3.2867399827877
Q9P121	150	3	150_3	24.0520264713336	20.9896106737852	3.06241579754835
Q9UHB9	150	3	150_3	17.2576456542473	16.2489652636077	1.00868039063965
Q9UHW9	150	3	150_3	23.7502146521467	19.3200336666073	4.43018098553939
Q9UIQ6	150	3	150_3	24.7803715667064	20.5720906588249	4.20828090788147
Q9UKM9	150	3	150_3	24.1667020626963	22.2428573966764	1.92384466601985
Q9ULF5	150	3	150_3	26.346662949966	22.7661202301181	3.58054271984792
Q9ULI3	150	3	150_3	22.7409830135601	20.224350318552	2.51663269500805
Q9UNF1	150	3	150_3	22.0288872330769	18.7315837982501	3.2973034348268
Q9UNN8	150	3	150_3	24.0886122794698	21.5689469641965	2.51966531527328
Q9UQ35	150	3	150_3	24.607442374077	21.7598280724663	2.84761430161067
Q9UQ80	150	3	150_3	23.8305030133489	22.0223394064945	1.80816360685445
Q9Y251	150	3	150_3	25.1046960028048	22.1979053687443	2.90679063406052
Q9Y2T7	150	3	150_3	21.4367529290698	19.5726514546819	1.86410147438793
Q9Y2W1	150	3	150_3	25.5946481228317	22.4345628522345	3.16008527059714
Q9Y2X3	150	3	150_3	25.7306558753982	23.1766078034429	2.55404807195524
Q9Y383	150	3	150_3	23.7341181234013	21.0437677586144	2.69035036478692
Q9Y3I0	150	3	150_3	21.2354954058049	17.9275233572662	3.30797204853864
Q9Y3Y2	150	3	150_3	24.1870693024726	22.8881828568814	1.29888644559116
Q9Y490	150	3	150_3	23.0595774819347	19.5630916144459	3.49648586748885
Q9Y4C8	150	3	150_3	19.9575246616353	18.9328406254382	1.02468403619709
Q9Y4L1	150	3	150_3	23.560474243989	19.7008785486388	3.85959569535022
Q9Y520	150	3	150_3	23.2248868165121	20.1110424890615	3.1138443274506
Q9Y5B9	150	3	150_3	23.6038019955042	19.687819193945	3.91598280155923
Q9Y639	150	3	150_3	24.1634617309695	22.2196317696495	1.94382996132002
Q9Y6M5	150	3	150_3	21.756132781414	18.3538015700072	3.40233121140678
Q9Y6M7	150	3	150_3	23.8745521675113	19.5122929456329	4.36225922187838
A6NGN9	275	1	275_1	24.0756149389409	19.7853247451678	4.29029019377307
O00116	275	1	275_1	22.1979053687443	19.6573533440664	2.54055202467788
O00203	275	1	275_1	25.5310738132628	21.5503404394935	3.98073337376933
O00232	275	1	275_1	22.6990115025136	19.3259729547248	3.37303854778885
O00267	275	1	275_1	22.0456023698744	20.8861371400772	1.15946522979727
O00299	275	1	275_1	24.6533567701421	21.851855172749	2.8015015973931
O00461	275	1	275_1	21.2538420550347	18.890734572531	2.36310748250376
O00468	275	1	275_1	24.9667625876267	21.7714130908031	3.1953494968236
O00567	275	1	275_1	23.5582194597039	20.4944443680946	3.06377509160937
O00592	275	1	275_1	27.9854040253066	23.3858735615556	4.59953046375098
O00622	275	1	275_1	23.2972257086292	20.9385533545573	2.35867235407188
O14646	275	1	275_1	24.8633163028826	20.8302608202295	4.03305548265307
O14745	275	1	275_1	23.9937491813034	21.5235222054411	2.47022697586232
O14786	275	1	275_1	22.3405238829819	19.6362595830981	2.70426429988386
O14979	275	1	275_1	23.9150971460453	22.951159974853	0.963937171192377
O15042	275	1	275_1	20.9473172584425	19.7110311196935	1.23628613874898
O15047	275	1	275_1	22.3786187247814	19.6810599309267	2.69755879385466
O15118	275	1	275_1	22.6778813357496	18.3429948150506	4.33488652069899
O15230	275	1	275_1	22.675944976445	19.5518734508375	3.12407152560748
O15371	275	1	275_1	24.2996384458563	21.7735416882514	2.5260967576049
O15479	275	1	275_1	23.786576168735	22.0795025335631	1.70707363517192
O43143	275	1	275_1	21.0159812367039	19.2548816776269	1.761099559077
O43175	275	1	275_1	24.7714046562997	22.008454107666	2.7629505486337
O43306	275	1	275_1	21.2786672399464	16.9059510351449	4.37271620480154
O43390	275	1	275_1	24.038236586747	22.2200034105237	1.81823317622327
O43493	275	1	275_1	25.2692822089415	20.9104814747971	4.35880073414437
O43707	275	1	275_1	19.8046730394483	19.6330732690891	0.171599770359183
O43719	275	1	275_1	23.7212978206999	20.4231651637346	3.29813265696532
O43776	275	1	275_1	22.9448521561426	18.5723745650326	4.37247759110998
O43823	275	1	275_1	23.7212978206999	20.6257801770921	3.09551764360788
O60279	275	1	275_1	23.7715281568137	19.0867996856235	4.68472847119025
O60506	275	1	275_1	23.1137848711843	20.9060417547994	2.20774311638492
O60701	275	1	275_1	23.6960421203168	19.9573061307378	3.73873598957906
O60704	275	1	275_1	24.9777103509689	20.3178277104575	4.65988264051137
O60832	275	1	275_1	23.3169996065177	21.9035259047392	1.41347370177851
O75152	275	1	275_1	20.0690720930741	18.9502027434632	1.11886934961088
O75179	275	1	275_1	22.0472677227558	20.4128675108717	1.63440021188402
O75369	275	1	275_1	23.0834483591662	20.907717361231	2.17573099793517
O75400	275	1	275_1	23.8647573753696	20.6907162032433	3.17404117212629
O75475	275	1	275_1	22.5282652300114	19.6853442336562	2.84292099635521
O75487	275	1	275_1	26.1321933548398	21.7889962878619	4.34319706697798
O75494	275	1	275_1	22.1623864111853	17.532599438673	4.62978697251227
O75533	275	1	275_1	23.2260355985401	20.7900736709992	2.43596192754086
O75534	275	1	275_1	24.3341671063887	22.5386084113243	1.79555869506437
O75643	275	1	275_1	22.0960330687128	19.8975559711489	2.19847709756387
O75691	275	1	275_1	23.743039599854	21.3233362892802	2.41970331057384
O75821	275	1	275_1	21.1831361899324	19.0367102296476	2.14642596028483
O75822	275	1	275_1	23.7327272254179	21.0446022346241	2.68812499079381
O75976	275	1	275_1	21.9369685570668	18.7342994648563	3.20266909221043
O76021	275	1	275_1	23.8469416742389	21.6467684830824	2.20017319115652
O76094	275	1	275_1	19.5810460748559	18.1311938049819	1.449852269874
O94925	275	1	275_1	21.5174925462828	17.2456269781824	4.27186556810034
O95218	275	1	275_1	24.718164931215	21.3910001879615	3.32716474325351
O95490	275	1	275_1	21.6774512582264	18.4252159032994	3.25223535492705
O95793	275	1	275_1	21.9640099951166	19.4277266303747	2.53628336474187
P00338	275	1	275_1	22.4503554655779	19.5771780105077	2.87317745507022
P00387	275	1	275_1	23.5640043416719	19.8127492709689	3.75125507070297
P00558	275	1	275_1	21.1543731303694	19.3316692523397	1.82270387802978
P02452	275	1	275_1	20.9868155069172	21.3066299743682	-0.319814467451067
P02545	275	1	275_1	25.4099604688859	22.5759560328727	2.83400443601316
P02751	275	1	275_1	22.0260270949245	20.8806791635743	1.14534793135017
P02786	275	1	275_1	22.622729751427	20.7007112088104	1.92201854261658
P04083	275	1	275_1	21.7104284532031	18.6382624835974	3.07216596960572
P04181	275	1	275_1	23.4244426985135	20.2815460149001	3.1428966836134
P04406	275	1	275_1	25.7028045574227	22.8793678693047	2.82343668811803
P04792	275	1	275_1	27.6715448866105	25.3935940836868	2.27795080292374
P04899	275	1	275_1	22.8428766596895	20.5758863476618	2.26699031202775
P05023	275	1	275_1	25.3492523380796	23.871735319807	1.4775170182726
P05026	275	1	275_1	27.4019268077253	23.5083848629846	3.89354194474068
P05141	275	1	275_1	24.9690963215948	20.9615507435603	4.00754557803446
P05388	275	1	275_1	19.6987996063481	18.4940430274205	1.20475657892755
P05455	275	1	275_1	24.8765535866684	23.3244349626991	1.55211862396926
P05556	275	1	275_1	28.4766974157769	24.619240760821	3.85745665495585
P06576	275	1	275_1	23.3753207878268	19.6240706201878	3.75125016763903
P06733	275	1	275_1	24.0757465121983	20.1946216097282	3.88112490247007
P06748	275	1	275_1	25.3132345081508	21.8626938389507	3.45054066920017
P06756	275	1	275_1	25.7891645572062	21.0199989744831	4.76916558272317
P07195	275	1	275_1	21.5081262048542	20.0717379352916	1.43638826956262
P07237	275	1	275_1	24.5714378771442	22.103011789654	2.46842608749023
P07355	275	1	275_1	25.0605524081836	21.9301665384206	3.130385869763
P07737	275	1	275_1	26.3721886170033	21.4586389048368	4.91354971216651
P07814	275	1	275_1	24.5048265312939	20.1807675156925	4.32405901560139
P07900	275	1	275_1	24.9959341095878	22.9248806269441	2.07105348264375
