GeneName	Description	Species	PE	SV
RPL37	60S ribosomal protein L37	Homo sapiens	1	2
MKI67	Proliferation marker protein Ki-67	Homo sapiens	1	2
XPO5	Exportin-5	Homo sapiens	1	1
THRAP3	Thyroid hormone receptor-associated protein 3	Homo sapiens	1	2
HSPA8	Heat shock cognate 71 kDa protein	Homo sapiens	1	1
ERAL1	"GTPase Era, mitochondrial"	Homo sapiens	1	2
YTHDF3	YTH domain-containing family protein 3	Homo sapiens	1	1
PABPC4	Polyadenylate-binding protein (Fragment)	Homo sapiens	1	1
SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	Homo sapiens	1	2
POLRMT	"DNA-directed RNA polymerase, mitochondrial"	Homo sapiens	1	2
YBX2	Y-box-binding protein 2	Homo sapiens	1	2
CCDC9	Coiled-coil domain-containing protein 9	Homo sapiens	1	1
NSA2	Ribosome biogenesis protein NSA2 homolog	Homo sapiens	1	1
ZC3H14	Zinc finger CCCH domain-containing protein 14	Homo sapiens	1	1
IGF2BP2	Insulin-like growth factor 2 mRNA-binding protein 2	Homo sapiens	1	1
ZNFX1	NFX1-type zinc finger-containing protein 1	Homo sapiens	2	2
ACTB	"Actin, cytoplasmic 1"	Homo sapiens	1	1
HNRNPU	Heterogeneous nuclear ribonucleoprotein U	Homo sapiens	1	6
LDHB	L-lactate dehydrogenase B chain	Homo sapiens	1	2
UTP11	Probable U3 small nucleolar RNA-associated protein 11	Homo sapiens	1	2
NIFK	MKI67 FHA domain-interacting nucleolar phosphoprotein	Homo sapiens	1	1
MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	Homo sapiens	1	2
YBX3	Y-box-binding protein 3 (Fragment)	Homo sapiens	1	1
GNL2	Nucleolar GTP-binding protein 2	Homo sapiens	1	1
RPS3	40S ribosomal protein S3	Homo sapiens	1	2
SRSF1	Serine/arginine-rich-splicing factor 1	Homo sapiens	1	1
OTUD4	OTU domain-containing protein 4	Homo sapiens	1	4
SRSF9	Serine/arginine-rich splicing factor 9	Homo sapiens	1	1
MTHFD1L	MTHFD1L protein	Homo sapiens	1	1
ANXA2	Annexin A2	Homo sapiens	1	2
LARP1	La-related protein 1	Homo sapiens	1	2
HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	Homo sapiens	1	1
NGDN	Neuroguidin	Homo sapiens	1	1
PCBP1	Poly(rC)-binding protein 1	Homo sapiens	1	2
YBX1	Nuclease-sensitive element-binding protein 1	Homo sapiens	1	3
KHSRP	Far upstream element-binding protein 2	Homo sapiens	1	4
RPS10P5	Putative 40S ribosomal protein S10-like	Homo sapiens	5	1
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	Homo sapiens	1	3
MEPCE	7SK snRNA methylphosphate capping enzyme	Homo sapiens	1	1
SURF6	Surfeit locus protein 6	Homo sapiens	1	3
ILF2	Interleukin enhancer-binding factor 2	Homo sapiens	1	2
HSPA5	78 kDa glucose-regulated protein	Homo sapiens	1	2
DDX49	Probable ATP-dependent RNA helicase DDX49	Homo sapiens	1	1
DAD1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	Homo sapiens	1	3
