Names	DMSO	TUNIC	TUNICISRIB	ISRIB	Class
NAA40_HUMAN	0.001815382	0	0.000297442	0	Down-Down-Down
RL14_HUMAN	0.001741024	0.000430663	0.000973118	0.001602268	Down-Down-Down
ALDOA_HUMAN	0.001741024	0.000861326	0	0.001622152	Down-Down-Down
IMA1_HUMAN	0.001741024	0.000395257	0	0.00078125	Down-Down-Down
RBMS2_HUMAN	0.001741024	0.001221177	0	0	Down-Down-Down
SAHH_HUMAN	0.001666667	0	0	0.000821018	Down-Down-Down
RBM12_HUMAN	0.001659156	0.000790514	0	0.000410509	Down-Down-Down
PSMD2_HUMAN	0.001659156	0.000395257	0.000337838	0.001602268	Down-Down-Down
HNRL2_HUMAN	0.001659156	0.000861326	0.00063528	0	Down-Down-Down
RL22L_HUMAN	0.001659156	0	0.000297442	0	Down-Down-Down
SYYC_HUMAN	0.001584798	0	0.000675676	0.00078125	Down-Down-Down
NOG1_HUMAN	0.001584798	0.000861326	0.000337838	0.000410509	Down-Down-Down
PUR2_HUMAN	0.001584798	0.000790514	0	0.000410509	Down-Down-Down
RPB1_HUMAN	0.001584798	0	0	0	Down-Down-Down
TCPH_HUMAN	0.001577287	0.001185771	0	0.001231527	Down-Down-Down
NOP56_HUMAN	0.001577287	0	0	0.000801134	Down-Down-Down
RL19_HUMAN	0.001502929	0.001185771	0.000297442	0.001191759	Down-Down-Down
MSH6_HUMAN	0.001502929	0.000395257	0	0.00078125	Down-Down-Down
AN32E_HUMAN	0.001502929	0.000430663	0.000297442	0	Down-Down-Down
SLIRP_HUMAN	0.001502929	0	0	0	Down-Down-Down
TCPD_HUMAN	0.001428571	0.00082592	0	0.001231527	Down-Down-Down
SERA_HUMAN	0.001428571	0	0.000337838	0.000390625	Down-Down-Down
PESC_HUMAN	0.001428571	0	0.000337838	0	Down-Down-Down
K2C73_HUMAN	0.001428571	0.000395257	0	0	Down-Down-Down
PURB_HUMAN	0.001346703	0.00082592	0.000594884	0	Down-Down-Down
NSUN2_HUMAN	0.001346703	0.000430663	0.000297442	0	Down-Down-Down
H31_HUMAN (+1)	0.001264834	0	0	0.000390625	Down-Down-Down
DNJC2_HUMAN	0.001264834	0	0	0	Down-Down-Down
ATX2L_HUMAN	0.001190476	0	0	0.000801134	Down-Down-Down
NOP16_HUMAN	0.001190476	0.00082592	0	0.000390625	Down-Down-Down
FA98A_HUMAN	0.001190476	0.001185771	0	0	Down-Down-Down
EIF3J_HUMAN	0.001182965	0.000395257	0	0	Down-Down-Down
YTHD1_HUMAN	0.001182965	0.000430663	0	0	Down-Down-Down
SYLC_HUMAN	0.001108607	0.000395257	0	0.000390625	Down-Down-Down
CTRO_HUMAN	0.001108607	0	0	0	Down-Down-Down
RBM22_HUMAN	0.001108607	0	0	0.000390625	Down-Down-Down
DAZP1_HUMAN	0.001108607	0	0	0	Down-Down-Down
CND1_HUMAN	0.001108607	0	0	0	Down-Down-Down
KHDR1_HUMAN	0.001026739	0.00082592	0.000297442	0.000801134	Down-Down-Down
SAFB1_HUMAN	0.001026739	0.000430663	0.000297442	0.00078125	Down-Down-Down
SRS11_HUMAN	0.001026739	0.00082592	0	0	Down-Down-Down
GANAB_HUMAN	0.001026739	0.000430663	0	0.000410509	Down-Down-Down
SF3B6_HUMAN	0.001026739	0.000430663	0	0	Down-Down-Down
RM13_HUMAN	0.001026739	0	0	0	Down-Down-Down
SYAC_HUMAN	0.001026739	0	0	0	Down-Down-Down
SYPL1_HUMAN	0.001026739	0	0	0	Down-Down-Down
XRCC6_HUMAN	0.000952381	0.000861326	0.000337838	0	Down-Down-Down
DDX27_HUMAN	0.000952381	0	0.000932722	0.000801134	Down-Down-Down
DHX29_HUMAN	0.000952381	0.000395257	0.000675676	0	Down-Down-Down
IF2A_HUMAN	0.000952381	0	0.000594884	0.000390625	Down-Down-Down
GAR1_HUMAN	0.000952381	0	0	0.000821018	Down-Down-Down
RL1D1_HUMAN	0.000952381	0	0.000297442	0	Down-Down-Down
TPIS_HUMAN	0.000952381	0	0	0.00078125	Down-Down-Down
SF3A1_HUMAN	0.000870512	0	0	0.000410509	Down-Down-Down
RM23_HUMAN	0.000870512	0.00082592	0	0	Down-Down-Down
RS23_HUMAN	0.000870512	0	0.000297442	0	Down-Down-Down
PRP31_HUMAN	0.000870512	0	0	0.000821018	Down-Down-Down
RM43_HUMAN	0.000870512	0	0.000297442	0	Down-Down-Down
HSP74_HUMAN	0.000788644	0	0	0.000410509	Down-Down-Down
RS27L_HUMAN (+1)	0.000788644	0	0	0.000410509	Down-Down-Down
WDR75_HUMAN	0.000714286	0	0	0.000410509	Down-Down-Down
TCPZ_HUMAN	0.000714286	0	0.000337838	0.000390625	Down-Down-Down
API5_HUMAN	0.000714286	0	0	0.000410509	Down-Down-Down
SUGP2_HUMAN	0.000714286	0.000430663	0	0	Down-Down-Down
HUWE1_HUMAN	0.000714286	0	0	0.000390625	Down-Down-Down
GNAI1_HUMAN (+1)	0.000632417	0.000430663	0	0	Down-Down-Down
PRDX3_HUMAN	0.000632417	0	0	0	Down-Down-Down
RRP12_HUMAN	0.000632417	0.000395257	0.000297442	0	Down-Down-Down
DDX47_HUMAN	0.000632417	0	0	0	Down-Down-Down
6PGD_HUMAN	0.000632417	0	0.000337838	0	Down-Down-Down
