Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
DDX54_HUMAN				30	25	30	19	23	25	24	35	32
RS11_HUMAN				20	21	19	19	18	18	18	18	17
ROA1_HUMAN				26	28	29	26	23	26	34	31	29
HNRPU_HUMAN				21	22	14	15	24	21	34	39	43
RBM19_HUMAN				21	24	17	15	18	13	32	28	32
G3BP1_HUMAN				21	22	23	27	20	24	39	39	35
FUBP2_HUMAN				19	20	19	25	21	17	41	29	32
DDX3X_HUMAN				28	19	14	16	16	6	40	40	27
YBOX3_HUMAN				53	43	41	49	53	35	47	57	50
FUBP3_HUMAN				14	21	18	16	31	13	38	28	21
ROA2_HUMAN				15	24	19	23	20	17	18	26	23
SND1_HUMAN				29	19	17	5	5	9	47	44	36
RL14_HUMAN				20	17	18	30	27	27	20	16	15
RL22_HUMAN				18	21	30	25	31	28	20	20	13
PWP2_HUMAN				20	27	11	7	12	9	28	33	22
H4_HUMAN	9	4	2	28	26	23	25	20	29	7	6	7
RBM28_HUMAN				13	10	15	10	20	26	27	34	31
UT14A_HUMAN				18	24	22	19	11	11	34	38	29
K2C5_HUMAN	42	31	34	20	21	23	23	26	29	16	34	20
RL13A_HUMAN	1		0	8	4	8	11	12	9	9	8	17
HNRPK_HUMAN				16	18	17	15	16	16	30	23	23
RS3_HUMAN				22	17	23	18	28	19	21	19	13
ILF2_HUMAN				9	15	9	16	21	8	34	23	32
SMD2_HUMAN	13	14	18	7	5	5	14	15	11	6	4	7
F120A_HUMAN				10	11	8	9	8	12	25	36	25
NOP58_HUMAN				18	12	8	8	6	11	34	35	36
K1C16_HUMAN	39	30	30	16	17	15	14	18	19	11	13	17
RL7A_HUMAN				21	19	18	19	18	16	18	15	12
RL26_HUMAN				13	10	8	13	12	12	15	14	18
LARP1_HUMAN				10	7	6	15	20	19	18	22	27
HSP7C_HUMAN				13	16	9	15	17	16	18	28	28
RS24_HUMAN				22	24	21	17	16	10	9	11	13
DDX5_HUMAN				16	19	14	10	12	14	21	22	25
PRC2C_HUMAN				5	10	10	9	4	1	35	37	34
EIF3A_HUMAN				10	9	9	2	2		42	45	32
PCBP2_HUMAN				15	20	13	15	13	10	21	17	23
RS15_HUMAN				11	10	13	31	30	24	5	6	8
NOG1_HUMAN				9	14	12	10	11	12	14	22	20
TIAR_HUMAN				11	17	16	12	17	15	15	23	18
TADBP_HUMAN				19	15	11	16	13	13	18	21	14
RS26_HUMAN				16	14	13	19	18	18	10	14	19
FBRL_HUMAN				20	15	10	11	15	13	9	21	17
NOP2_HUMAN				13	10	11	12	9	11	20	20	15
RALY_HUMAN				12	11	5	11	17	17	13	18	13
RS27A_HUMAN	1	1	1	13	14	9	12	7	15	7	12	11
HNRPD_HUMAN				16	13	18	11	16	9	12	17	13
GNL3_HUMAN				11	3	5	7	7	5	23	28	18
XRCC5_HUMAN	0	0	1	8	13	10	6	5	6	16	16	19
RL18_HUMAN				16	17	17	18	16	18	11	10	12
RRP12_HUMAN				9	12	7	5	5	5	23	20	18
UTP20_HUMAN				4	7	6	6	1	2	27	27	20
IF4B_HUMAN				12	12	13	12	11	9	19	13	16
RL3_HUMAN				12	11	6	6	7	7	20	16	11
RL34_HUMAN				6	7	6	8	5	8	8	10	7
SMD3_HUMAN	17	20	11	5	6	6	15	16	9	2	2	0
SPB1_HUMAN				13	5	5	8	7	5	23	20	21
