master_protein	cells	treatment	rep
Q9UKV8	MCF10A	CL	4
Q9UIQ6	MCF10A	CL	4
P23229	MCF10A	CL	4
Q5JTH9	MCF10A	CL	4
P62269	MCF10A	CL	4
Q76FK4	MCF10A	CL	4
P14324	MCF10A	CL	4
Q06124	MCF10A	CL	4
P26641	MCF10A	CL	4
Q66PJ3	MCF10A	CL	4
Q9H7D0	MCF10A	CL	4
Q9UJU6	MCF10A	CL	4
P42765	MCF10A	CL	4
P49589	MCF10A	CL	4
Q9H6T0	MCF10A	CL	4
P04150	MCF10A	CL	4
Q5QJE6	MCF10A	CL	4
A0AV96	MCF10A	CL	4
P62070	MCF10A	CL	4
O15020	MCF10A	CL	4
Q99613	MCF10A	CL	4
P52789	MCF10A	CL	4
P63167	MCF10A	CL	4
P30876	MCF10A	CL	4
O60885	MCF10A	CL	4
O60292	MCF10A	CL	4
O95239	MCF10A	CL	4
Q93009	MCF10A	CL	4
Q14683	MCF10A	CL	4
Q7Z6B7	MCF10A	CL	4
P28072	MCF10A	CL	4
O75494	MCF10A	CL	4
P27797	MCF10A	CL	4
P83731	MCF10A	CL	4
Q16630	MCF10A	CL	4
Q99816	MCF10A	CL	4
A5YKK6	MCF10A	CL	4
Q16831	MCF10A	CL	4
Q9Y2X3	MCF10A	CL	4
P36915	MCF10A	CL	4
P18564	MCF10A	CL	4
P00505	MCF10A	CL	4
O75116	MCF10A	CL	4
P42166	MCF10A	CL	4
Q96T51	MCF10A	CL	4
Q13243	MCF10A	CL	4
O14602	MCF10A	CL	4
Q9BZE4	MCF10A	CL	4
Q9BTA9	MCF10A	CL	4
Q06210	MCF10A	CL	4
P14868	MCF10A	CL	4
P55060	MCF10A	CL	4
Q969S3	MCF10A	CL	4
Q8IZL8	MCF10A	CL	4
P31153	MCF10A	CL	4
P41214	MCF10A	CL	4
Q99729	MCF10A	CL	4
P23526	MCF10A	CL	4
Q96PC5	MCF10A	CL	4
P98179	MCF10A	CL	4
Q8TEW0	MCF10A	CL	4
O95487	MCF10A	CL	4
P52597	MCF10A	CL	4
P30153	MCF10A	CL	4
Q1KMD3	MCF10A	CL	4
Q86UE4	MCF10A	CL	4
Q9HCE1	MCF10A	CL	4
Q13263	MCF10A	CL	4
Q53EL6	MCF10A	CL	4
P30085	MCF10A	CL	4
Q9ULX6	MCF10A	CL	4
O43175	MCF10A	CL	4
P07355	MCF10A	CL	4
Q99567	MCF10A	CL	4
P53985	MCF10A	CL	4
Q9UQ80	MCF10A	CL	4
O00429	MCF10A	CL	4
O60884	MCF10A	CL	4
O43290	MCF10A	CL	4
P16949	MCF10A	CL	4
P27695	MCF10A	CL	4
Q6P2E9	MCF10A	CL	4
P54727	MCF10A	CL	4
Q15418	MCF10A	CL	4
Q9H4F8	MCF10A	CL	4
Q9Y5B0	MCF10A	CL	4
O14920	MCF10A	CL	4
Q2M2I8	MCF10A	CL	4
O75319	MCF10A	CL	4
P28482	MCF10A	CL	4
P30520	MCF10A	CL	4
P62854	MCF10A	CL	4
O43291	MCF10A	CL	4
O94776	MCF10A	CL	4
P62899	MCF10A	CL	4
Q8NB90	MCF10A	CL	4
Q8ND24	MCF10A	CL	4
Q96EV2	MCF10A	CL	4
O95831	MCF10A	CL	4
P54709	MCF10A	CL	4
Q9UNE7	MCF10A	CL	4
Q9Y678	MCF10A	CL	4
Q9BY44	MCF10A	CL	4
Q9UIA9	MCF10A	CL	4
Q86XL3	MCF10A	CL	4
Q8WVJ2	MCF10A	CL	4
Q96Q15	MCF10A	CL	4
Q9Y450	MCF10A	CL	4
P04899	MCF10A	CL	4
Q9Y4X5	MCF10A	CL	4
Q15056	MCF10A	CL	4
Q9UJC3	MCF10A	CL	4
Q8N3Z6	MCF10A	CL	4
Q15459	MCF10A	CL	4
Q9UK76	MCF10A	CL	4
P48643	MCF10A	CL	4
P25398	MCF10A	CL	4
P00558	MCF10A	CL	4
Q8N9Q2	MCF10A	CL	4
O94832	MCF10A	CL	4
Q9BR76	MCF10A	CL	4
Q08380	MCF10A	CL	4
Q5VTL8	MCF10A	CL	4
Q96JP5	MCF10A	CL	4
P15514	MCF10A	CL	4
Q9Y2L1	MCF10A	CL	4
Q96G46	MCF10A	CL	4
Q13409	MCF10A	CL	4
O00116	MCF10A	CL	4
Q9BYX2	MCF10A	CL	4
P08195	MCF10A	CL	4
P49815	MCF10A	CL	4
P62888	MCF10A	CL	4
Q92614	MCF10A	CL	4
Q8NCA5	MCF10A	CL	4
O15371	MCF10A	CL	4
Q8WUM4	MCF10A	CL	4
P20645	MCF10A	CL	4
Q969Q0	MCF10A	CL	4
Q8WVV4	MCF10A	CL	4
P62266	MCF10A	CL	4
O14979	MCF10A	CL	4
P50914	MCF10A	CL	4
O94992	MCF10A	CL	4
P06703	MCF10A	CL	4
P12004	MCF10A	CL	4
P40926	MCF10A	CL	4
P17655	MCF10A	CL	4
P26373	MCF10A	CL	4
Q5VZK9	MCF10A	CL	4
O00148	MCF10A	CL	4
Q92804	MCF10A	CL	4
Q15059	MCF10A	CL	4
P09525	MCF10A	CL	4
Q14244	MCF10A	CL	4
P84098	MCF10A	CL	4
Q93052	MCF10A	CL	4
Q9BWF3	MCF10A	CL	4
Q8N3C0	MCF10A	CL	4
P15531	MCF10A	CL	4
Q15003	MCF10A	CL	4
Q13618	MCF10A	CL	4
Q6ZNB6	MCF10A	CL	4
P00387	MCF10A	CL	4
P52732	MCF10A	CL	4
P52895	MCF10A	CL	4
Q96TA1	MCF10A	CL	4
P25445	MCF10A	CL	4
Q9HAU0	MCF10A	CL	4
Q14166	MCF10A	CL	4
P23508	MCF10A	CL	4
O43295	MCF10A	CL	4
Q7L2E3	MCF10A	CL	4
Q13347	MCF10A	CL	4
Q6UXH1	MCF10A	CL	4
Q9UGP8	MCF10A	CL	4
Q86X55	MCF10A	CL	4
Q96GA3	MCF10A	CL	4
Q9NR45	MCF10A	CL	4
P55290	MCF10A	CL	4
Q86TI2	MCF10A	CL	4
Q9UGP4	MCF10A	CL	4
P28838	MCF10A	CL	4
Q00325	MCF10A	CL	4
Q01844	MCF10A	CL	4
P63104	MCF10A	CL	4
P31040	MCF10A	CL	4
P47897	MCF10A	CL	4
Q3L8U1	MCF10A	CL	4
P46782	MCF10A	CL	4
Q5H9R7	MCF10A	CL	4
Q06481	MCF10A	CL	4
Q9NUQ8	MCF10A	CL	4
Q96F86	MCF10A	CL	4
Q9Y2H6	MCF10A	CL	4
O43684	MCF10A	CL	4
O75083	MCF10A	CL	4
Q9NX24	MCF10A	CL	4
O14896	MCF10A	CL	4
P50479	MCF10A	CL	4
Q16643	MCF10A	CL	4
Q8N5L8	MCF10A	CL	4
Q86SQ0	MCF10A	CL	4
P78344	MCF10A	CL	4
Q9HAV4	MCF10A	CL	4
P47756	MCF10A	CL	4
P12956	MCF10A	CL	4
Q13395	MCF10A	CL	4
Q13625	MCF10A	CL	4
P30622	MCF10A	CL	4
Q8TD19	MCF10A	CL	4
Q92499	MCF10A	CL	4
P18827	MCF10A	CL	4
P18583	MCF10A	CL	4
Q96BY7	MCF10A	CL	4
Q13554	MCF10A	CL	4
P17096	MCF10A	CL	4
Q96T76	MCF10A	CL	4
Q9Y5K6	MCF10A	CL	4
P42677	MCF10A	CL	4
Q9H6R4	MCF10A	CL	4
P68036	MCF10A	CL	4
Q9Y266	MCF10A	CL	4
O14684	MCF10A	CL	4
P31946	MCF10A	CL	4
Q9GZT3	MCF10A	CL	4
Q8WXA9	MCF10A	CL	4
P09382	MCF10A	CL	4
Q8WUM9	MCF10A	CL	4
Q9UKY7	MCF10A	CL	4
P05026	MCF10A	CL	4
Q96G03	MCF10A	CL	4
P62701	MCF10A	CL	4
Q9UMS4	MCF10A	CL	4
P42224	MCF10A	CL	4
Q7KZ85	MCF10A	CL	4
Q9Y3T9	MCF10A	CL	4
Q96HS1	MCF10A	CL	4
Q15021	MCF10A	CL	4
Q15046	MCF10A	CL	4
Q96QD9	MCF10A	CL	4
O60264	MCF10A	CL	4
P33121	MCF10A	CL	4
Q2TAY7	MCF10A	CL	4
Q15365	MCF10A	CL	4
P48637	MCF10A	CL	4
Q92545	MCF10A	CL	4
Q14684	MCF10A	CL	4
Q86TB9	MCF10A	CL	4
Q9Y2A7	MCF10A	CL	4
Q9UPN7	MCF10A	CL	4
P07996	MCF10A	CL	4
Q92879	MCF10A	CL	4
O75165	MCF10A	CL	4
Q9H190	MCF10A	CL	4
Q13439	MCF10A	CL	4
O95218	MCF10A	CL	4
O00170	MCF10A	CL	4
P13804	MCF10A	CL	4
Q8NFH5	MCF10A	CL	4
Q8N163	MCF10A	CL	4
Q92769	MCF10A	CL	4
O00425	MCF10A	CL	4
Q8TEQ6	MCF10A	CL	4
Q14997	MCF10A	CL	4
P62258	MCF10A	CL	4
Q15366	MCF10A	CL	4
O75694	MCF10A	CL	4
O43396	MCF10A	CL	4
Q15084	MCF10A	CL	4
Q8IZ83	MCF10A	CL	4
Q92597	MCF10A	CL	4
Q16851	MCF10A	CL	4
Q8WW12	MCF10A	CL	4
Q7KZI7	MCF10A	CL	4
P49841	MCF10A	CL	4
P52907	MCF10A	CL	4
Q5VZF2	MCF10A	CL	4
P04920	MCF10A	CL	4
Q96GM8	MCF10A	CL	4
O75976	MCF10A	CL	4
P37198	MCF10A	CL	4
Q15032	MCF10A	CL	4
Q9Y2W2	MCF10A	CL	4
P62306	MCF10A	CL	4
Q9BXJ9	MCF10A	CL	4
Q9BSJ8	MCF10A	CL	4
P62280	MCF10A	CL	4
P63010	MCF10A	CL	4
Q96RT7	MCF10A	CL	4
Q96C19	MCF10A	CL	4
Q8NI35	MCF10A	CL	4
P43490	MCF10A	CL	4
Q01780	MCF10A	CL	4
O94973	MCF10A	CL	4
Q6DKJ4	MCF10A	CL	4
Q9Y2Z0	MCF10A	CL	4
P40939	MCF10A	CL	4
P10768	MCF10A	CL	4
Q16539	MCF10A	CL	4
Q10570	MCF10A	CL	4
Q01970	MCF10A	CL	4
Q14011	MCF10A	CL	4
P39748	MCF10A	CL	4
P14735	MCF10A	CL	4
Q9NZ01	MCF10A	CL	4
Q7Z6I8	MCF10A	CL	4
Q86U38	MCF10A	CL	4
Q9Y6C9	MCF10A	CL	4
Q9H0B6	MCF10A	CL	4
Q9NYL2	MCF10A	CL	4
Q9Y2D5	MCF10A	CL	4
Q15813	MCF10A	CL	4
P51148	MCF10A	CL	4
Q01105	MCF10A	CL	4
Q9ULH0	MCF10A	CL	4
Q9ULF5	MCF10A	CL	4
O94966	MCF10A	CL	4
Q9NR09	MCF10A	CL	4
O15091	MCF10A	CL	4
Q9H9B1	MCF10A	CL	4
O95373	MCF10A	CL	4
Q66K14	MCF10A	CL	4
Q6IQ49	MCF10A	CL	4
P84085	MCF10A	CL	4
Q13838	MCF10A	CL	4
Q9H910	MCF10A	CL	4
P46060	MCF10A	CL	4
P15153	MCF10A	CL	4
Q8WXF1	MCF10A	CL	4
Q9UH99	MCF10A	CL	4
Q6NXG1	MCF10A	CL	4
Q9BV73	MCF10A	CL	4
O75131	MCF10A	CL	4
Q86W92	MCF10A	CL	4
P20290	MCF10A	CL	4
P49757	MCF10A	CL	4
P31431	MCF10A	CL	4
Q9UQ13	MCF10A	CL	4
P49902	MCF10A	CL	4
P42766	MCF10A	CL	4
P13861	MCF10A	CL	4
O95292	MCF10A	CL	4
P17275	MCF10A	CL	4
Q96CX2	MCF10A	CL	4
P43304	MCF10A	CL	4
P25205	MCF10A	CL	4
P01011	MCF10A	CL	4
P13473	MCF10A	CL	4
P17480	MCF10A	CL	4
P12931	MCF10A	CL	4
P50851	MCF10A	CL	4
O00299	MCF10A	CL	4
P78316	MCF10A	CL	4
Q9UIF9	MCF10A	CL	4
O75808	MCF10A	CL	4
P49189	MCF10A	CL	4
P07204	MCF10A	CL	4
Q9H3P7	MCF10A	CL	4
P61204	MCF10A	CL	4
Q13641	MCF10A	CL	4
P14678	MCF10A	CL	4
Q02543	MCF10A	CL	4
O00178	MCF10A	CL	4
Q99714	MCF10A	CL	4
Q9NSE4	MCF10A	CL	4
O14639	MCF10A	CL	4
Q8IWA0	MCF10A	CL	4
P62873	MCF10A	CL	4
Q04941	MCF10A	CL	4
P53992	MCF10A	CL	4
Q8NB16	MCF10A	CL	4
Q9P2B2	MCF10A	CL	4
Q5ZPR3	MCF10A	CL	4
Q3SY69	MCF10A	CL	4
Q96JH7	MCF10A	CL	4
Q9NT62	MCF10A	CL	4
P28066	MCF10A	CL	4
P61289	MCF10A	CL	4
Q9Y6W5	MCF10A	CL	4
Q96LD4	MCF10A	CL	4
Q86UU1	MCF10A	CL	4
Q13242	MCF10A	CL	4
Q16822	MCF10A	CL	4
Q9Y3F4	MCF10A	CL	4
P12532	MCF10A	CL	4
Q8NHV4	MCF10A	CL	4
Q9BX40	MCF10A	CL	4
Q15678	MCF10A	CL	4
P36551	MCF10A	CL	4
Q02750	MCF10A	CL	4
P09960	MCF10A	CL	4
Q7L4I2	MCF10A	CL	4
P63244	MCF10A	CL	4
O75312	MCF10A	CL	4
Q9BVP2	MCF10A	CL	4
Q9BYD1	MCF10A	CL	4
Q9Y4W2	MCF10A	CL	4
Q8WUQ7	MCF10A	CL	4
Q9NNW7	MCF10A	CL	4
Q5VYK3	MCF10A	CL	4
P78347	MCF10A	CL	4
P35613	MCF10A	CL	4
P11279	MCF10A	CL	4
P38606	MCF10A	CL	4
Q9H7D7	MCF10A	CL	4
Q01085	MCF10A	CL	4
P11413	MCF10A	CL	4
Q01813	MCF10A	CL	4
Q9NYQ8	MCF10A	CL	4
P50570	MCF10A	CL	4
Q17RY0	MCF10A	CL	4
Q13423	MCF10A	CL	4
Q6P1J9	MCF10A	CL	4
O75643	MCF10A	CL	4
P30740	MCF10A	CL	4
Q5SSJ5	MCF10A	CL	4
P07384	MCF10A	CL	4
P25705	MCF10A	CL	4
Q9Y570	MCF10A	CL	4
Q9P0K7	MCF10A	CL	4
Q15393	MCF10A	CL	4
P36776	MCF10A	CL	4
P50213	MCF10A	CL	4
Q9UDY8	MCF10A	CL	4
Q9HA77	MCF10A	CL	4
Q9H7B2	MCF10A	CL	4
P18669	MCF10A	CL	4
P49915	MCF10A	CL	4
Q9NRY4	MCF10A	CL	4
P62851	MCF10A	CL	4
P00403	MCF10A	CL	4
Q7Z434	MCF10A	CL	4
O15438	MCF10A	CL	4
Q13535	MCF10A	CL	4
Q14694	MCF10A	CL	4
O75629	MCF10A	CL	4
P30041	MCF10A	CL	4
Q96PZ0	MCF10A	CL	4
O15084	MCF10A	CL	4
Q12768	MCF10A	CL	4
P60866	MCF10A	CL	4
P60228	MCF10A	CL	4
P61160	MCF10A	CL	4
P05198	MCF10A	CL	4
Q03468	MCF10A	CL	4
Q9Y4H2	MCF10A	CL	4
Q96EU6	MCF10A	CL	4
Q9BYG3	MCF10A	CL	4
Q14764	MCF10A	CL	4
Q9NVU7	MCF10A	CL	4
Q96QD8	MCF10A	CL	4
P62879	MCF10A	CL	4
O75439	MCF10A	CL	4
O95782	MCF10A	CL	4
P23396	MCF10A	CL	4
P25788	MCF10A	CL	4
Q9BQ52	MCF10A	CL	4
P29317	MCF10A	CL	4
Q9P2R3	MCF10A	CL	4
P52306	MCF10A	CL	4
Q6ZVX7	MCF10A	CL	4
P55786	MCF10A	CL	4
O75390	MCF10A	CL	4
Q96J84	MCF10A	CL	4
A6NHR9	MCF10A	CL	4
O15294	MCF10A	CL	4
Q8TBC4	MCF10A	CL	4
Q9HAU5	MCF10A	CL	4
Q96L91	MCF10A	CL	4
O95453	MCF10A	CL	4
P06576	MCF10A	CL	4
P30050	MCF10A	CL	4
Q8WUF5	MCF10A	CL	4
Q9Y6K9	MCF10A	CL	4
P43246	MCF10A	CL	4
Q9Y6G9	MCF10A	CL	4
Q5JWF2	MCF10A	CL	4
P23634	MCF10A	CL	4
Q9H7E9	MCF10A	CL	4
O00267	MCF10A	CL	4
Q6P1N0	MCF10A	CL	4
Q9BWD1	MCF10A	CL	4
Q13595	MCF10A	CL	4
P39019	MCF10A	CL	4
Q04323	MCF10A	CL	4
Q8TF01	MCF10A	CL	4
Q9H3N1	MCF10A	CL	4
Q8WXI7	MCF10A	CL	4
Q96CS3	MCF10A	CL	4
Q9Y613	MCF10A	CL	4
Q13308	MCF10A	CL	4
Q12931	MCF10A	CL	4
P40763	MCF10A	CL	4
P46781	MCF10A	CL	4
Q9NZL9	MCF10A	CL	4
P46976	MCF10A	CL	4
P07858	MCF10A	CL	4
P49321	MCF10A	CL	4
Q8WWQ0	MCF10A	CL	4
Q9UBU9	MCF10A	CL	4
Q9Y6N5	MCF10A	CL	4
P16435	MCF10A	CL	4
P62424	MCF10A	CL	4
Q12792	MCF10A	CL	4
Q8N684	MCF10A	CL	4
P17301	MCF10A	CL	4
Q9NVP1	MCF10A	CL	4
Q96HN2	MCF10A	CL	4
P35321	MCF10A	CL	4
Q9NW64	MCF10A	CL	4
P62277	MCF10A	CL	4
Q6DT37	MCF10A	CL	4
O95163	MCF10A	CL	4
Q9NZN5	MCF10A	CL	4
Q01196	MCF10A	CL	4
Q96P11	MCF10A	CL	4
P29353	MCF10A	CL	4
P50995	MCF10A	CL	4
P55809	MCF10A	CL	4
O00193	MCF10A	CL	4
P17931	MCF10A	CL	4
Q8NFJ5	MCF10A	CL	4
P50395	MCF10A	CL	4
O14787	MCF10A	CL	4
P62753	MCF10A	CL	4
Q12959	MCF10A	CL	4
P52594	MCF10A	CL	4
O60701	MCF10A	CL	4
Q13885	MCF10A	CL	4
Q709C8	MCF10A	CL	4
Q8WUA2	MCF10A	CL	4
Q92542	MCF10A	CL	4
O43157	MCF10A	CL	4
Q16531	MCF10A	CL	4
Q5SYE7	MCF10A	CL	4
Q9Y617	MCF10A	CL	4
Q9H8H2	MCF10A	CL	4
P51648	MCF10A	CL	4
Q8TF05	MCF10A	CL	4
P52701	MCF10A	CL	4
P51858	MCF10A	CL	4
Q6NYC1	MCF10A	CL	4
P46783	MCF10A	CL	4
Q96ST3	MCF10A	CL	4
Q9UBB4	MCF10A	CL	4
P21796	MCF10A	CL	4
P61158	MCF10A	CL	4
P57678	MCF10A	CL	4
Q92615	MCF10A	CL	4
Q9Y4E8	MCF10A	CL	4
O76003	MCF10A	CL	4
O15031	MCF10A	CL	4
O60869	MCF10A	CL	4
Q13185	MCF10A	CL	4
Q92734	MCF10A	CL	4
P21589	MCF10A	CL	4
P10412	MCF10A	CL	4
P43034	MCF10A	CL	4
Q96FZ2	MCF10A	CL	4
Q8WUM0	MCF10A	CL	4
P68371	MCF10A	CL	4
P04083	MCF10A	CL	4
Q9Y4P3	MCF10A	CL	4
Q12874	MCF10A	CL	4
O00764	MCF10A	CL	4
P52943	MCF10A	CL	4
A3KMH1	MCF10A	CL	4
Q9H4L4	MCF10A	CL	4
P07437	MCF10A	CL	4
Q9Y5M8	MCF10A	CL	4
Q9H2K8	MCF10A	CL	4
Q9H6S3	MCF10A	CL	4
Q9BV38	MCF10A	CL	4
O00469	MCF10A	CL	4
O75607	MCF10A	CL	4
Q52LJ0	MCF10A	CL	4
Q99497	MCF10A	CL	4
Q53FA7	MCF10A	CL	4
P39060	MCF10A	CL	4
Q15434	MCF10A	CL	4
O95297	MCF10A	CL	4
Q96HE7	MCF10A	CL	4
Q86Y56	MCF10A	CL	4
Q15223	MCF10A	CL	4
Q12904	MCF10A	CL	4
Q9Y3C8	MCF10A	CL	4
Q15477	MCF10A	CL	4
P12429	MCF10A	CL	4
Q14195	MCF10A	CL	4
Q86VI3	MCF10A	CL	4
P62714	MCF10A	CL	4
P22223	MCF10A	CL	4
O95478	MCF10A	CL	4
Q86VS8	MCF10A	CL	4
O14744	MCF10A	CL	4
P62906	MCF10A	CL	4
Q9H223	MCF10A	CL	4
Q8NBN3	MCF10A	CL	4
Q9Y2X7	MCF10A	CL	4
Q9BRS2	MCF10A	CL	4
Q5SRE5	MCF10A	CL	4
Q7Z3U7	MCF10A	CL	4
Q9HCJ3	MCF10A	CL	4
Q15181	MCF10A	CL	4
P15121	MCF10A	CL	4
Q7Z3C6	MCF10A	CL	4
P38117	MCF10A	CL	4
P62847	MCF10A	CL	4
O75608	MCF10A	CL	4
P51812	MCF10A	CL	4
P62249	MCF10A	CL	4
Q92973	MCF10A	CL	4
Q8TEX9	MCF10A	CL	4
P42226	MCF10A	CL	4
P13928	MCF10A	CL	4
Q9BYD6	MCF10A	CL	4
P07203	MCF10A	CL	4
P08708	MCF10A	CL	4
Q8N983	MCF10A	CL	4
Q96PU8	MCF10A	CL	4
Q96EE3	MCF10A	CL	4
O00231	MCF10A	CL	4
P56537	MCF10A	CL	4
P00390	MCF10A	CL	4
Q6ZUT6	MCF10A	CL	4
Q14512	MCF10A	CL	4
Q8TD30	MCF10A	CL	4
Q13177	MCF10A	CL	4
Q9GZM7	MCF10A	CL	4
Q04917	MCF10A	CL	4
P23258	MCF10A	CL	4
O00401	MCF10A	CL	4
Q9HD20	MCF10A	CL	4
Q9P015	MCF10A	CL	4
P15586	MCF10A	CL	4
Q9Y285	MCF10A	CL	4
P17174	MCF10A	CL	4
P07099	MCF10A	CL	4
Q14676	MCF10A	CL	4
Q9NTI5	MCF10A	CL	4
P30048	MCF10A	CL	4
P53999	MCF10A	CL	4
P62244	MCF10A	CL	4
P35268	MCF10A	CL	4
P11182	MCF10A	CL	4
Q9GZP4	MCF10A	CL	4
Q01469	MCF10A	CL	4
Q15738	MCF10A	CL	4
Q9BZE1	MCF10A	CL	4
Q9UKS6	MCF10A	CL	4
P18085	MCF10A	CL	4
P04080	MCF10A	CL	4
O14773	MCF10A	CL	4
P42566	MCF10A	CL	4
P61106	MCF10A	CL	4
Q5THJ4	MCF10A	CL	4
Q06203	MCF10A	CL	4
Q2NL82	MCF10A	CL	4
Q9BZG1	MCF10A	CL	4
Q13616	MCF10A	CL	4
O60248	MCF10A	CL	4
O95571	MCF10A	CL	4
Q9BSJ2	MCF10A	CL	4
O43747	MCF10A	CL	4
Q9BYJ9	MCF10A	CL	4
Q71U36	MCF10A	CL	4
Q9Y3U8	MCF10A	CL	4
O14828	MCF10A	CL	4
Q9BRJ7	MCF10A	CL	4
Q02880	MCF10A	CL	4
Q7Z739	MCF10A	CL	4
P39656	MCF10A	CL	4
Q5T9A4	MCF10A	CL	4
Q8IY17	MCF10A	CL	4
P40261	MCF10A	CL	4
Q12965	MCF10A	CL	4
O00487	MCF10A	CL	4
Q9P2N5	MCF10A	CL	4
Q8WWY3	MCF10A	CL	4
P04181	MCF10A	CL	4
P50897	MCF10A	CL	4
P78362	MCF10A	CL	4
Q9BXR0	MCF10A	CL	4
P58546	MCF10A	CL	4
P42285	MCF10A	CL	4
O43681	MCF10A	CL	4
Q7Z6M4	MCF10A	CL	4
P52209	MCF10A	CL	4
Q9UHD2	MCF10A	CL	4
P08754	MCF10A	CL	4
A0MZ66	MCF10A	CL	4
Q9H0J9	MCF10A	CL	4
Q92536	MCF10A	CL	4
E9PAV3	MCF10A	CL	4
P22528	MCF10A	CL	4
A1X283	MCF10A	CL	4
O95433	MCF10A	CL	4
P49755	MCF10A	CL	4
Q9BZZ5	MCF10A	CL	4
Q9NYL9	MCF10A	CL	4
Q9Y224	MCF10A	CL	4
Q9H3K6	MCF10A	CL	4
P30086	MCF10A	CL	4
Q13630	MCF10A	CL	4
Q9Y6M5	MCF10A	CL	4
Q9UPU5	MCF10A	CL	4
Q9UHX1	MCF10A	CL	4
Q9NQC3	MCF10A	CL	4
P22681	MCF10A	CL	4
P49840	MCF10A	CL	4
Q6XQN6	MCF10A	CL	4
P29218	MCF10A	CL	4
P30414	MCF10A	CL	4
P53801	MCF10A	CL	4
Q96RP9	MCF10A	CL	4
Q14739	MCF10A	CL	4
O60504	MCF10A	CL	4
P31150	MCF10A	CL	4
P45880	MCF10A	CL	4
P14550	MCF10A	CL	4
Q9H2J7	MCF10A	CL	4
P68402	MCF10A	CL	4
P09012	MCF10A	CL	4
P11172	MCF10A	CL	4
O60568	MCF10A	CL	4
P19838	MCF10A	CL	4
Q9Y6G3	MCF10A	CL	4
Q8TDI0	MCF10A	CL	4
Q92696	MCF10A	CL	4
P05387	MCF10A	CL	4
P01033	MCF10A	CL	4
P20618	MCF10A	CL	4
Q9BRL6	MCF10A	CL	4
P23368	MCF10A	CL	4
O94822	MCF10A	CL	4
O76054	MCF10A	CL	4
Q04206	MCF10A	CL	4
Q9UKF6	MCF10A	CL	4
P11177	MCF10A	CL	4
P08237	MCF10A	CL	4
Q14CX7	MCF10A	CL	4
P15529	MCF10A	CL	4
Q9HCC0	MCF10A	CL	4
O75940	MCF10A	CL	4
P57740	MCF10A	CL	4
Q9UMZ2	MCF10A	CL	4
Q04721	MCF10A	CL	4
P43686	MCF10A	CL	4
Q9Y618	MCF10A	CL	4
Q9H000	MCF10A	CL	4
Q9BTT0	MCF10A	CL	4
Q12769	MCF10A	CL	4
Q04828	MCF10A	CL	4
Q8N960	MCF10A	CL	4
Q13011	MCF10A	CL	4
Q9HCD5	MCF10A	CL	4
Q92620	MCF10A	CL	4
Q31612	MCF10A	CL	4
O75330	MCF10A	CL	4
Q8IZP0	MCF10A	CL	4
P38919	MCF10A	CL	4
P48506	MCF10A	CL	4
P18754	MCF10A	CL	4
P48147	MCF10A	CL	4
P10515	MCF10A	CL	4
P62861	MCF10A	CL	4
P82933	MCF10A	CL	4
Q6NZI2	MCF10A	CL	4
Q9UK58	MCF10A	CL	4
Q96JM3	MCF10A	CL	4
Q10567	MCF10A	CL	4
Q9P1Y6	MCF10A	CL	4
Q8NAV1	MCF10A	CL	4
P05141	MCF10A	CL	4
O60306	MCF10A	CL	4
P49711	MCF10A	CL	4
P05109	MCF10A	CL	4
Q9H1I8	MCF10A	CL	4
O15118	MCF10A	CL	4
Q8IXI1	MCF10A	CL	4
O95999	MCF10A	CL	4
Q96B36	MCF10A	CL	4
O95104	MCF10A	CL	4
Q9Y316	MCF10A	CL	4
Q9NR19	MCF10A	CL	4
O94855	MCF10A	CL	4
Q8IW35	MCF10A	CL	4
Q8IY81	MCF10A	CL	4
Q96CW5	MCF10A	CL	4
Q9P2B4	MCF10A	CL	4
Q7Z2Z2	MCF10A	CL	4
P50454	MCF10A	CL	4
Q96B97	MCF10A	CL	4
Q9UKK3	MCF10A	CL	4
Q9P2I0	MCF10A	CL	4
Q15008	MCF10A	CL	4
O94915	MCF10A	CL	4
Q9NRG9	MCF10A	CL	4
Q9UPN9	MCF10A	CL	4
O75367	MCF10A	CL	4
P12236	MCF10A	CL	4
O43719	MCF10A	CL	4
P35573	MCF10A	CL	4
O95429	MCF10A	CL	4
Q9Y6D6	MCF10A	CL	4
Q53EP0	MCF10A	CL	4
P61019	MCF10A	CL	4
P17858	MCF10A	CL	4
Q5GLZ8	MCF10A	CL	4
P35232	MCF10A	CL	4
Q9UG63	MCF10A	CL	4
P16152	MCF10A	CL	4
O75306	MCF10A	CL	4
O60749	MCF10A	CL	4
Q96EY7	MCF10A	CL	4
Q9BST9	MCF10A	CL	4
Q96E39	MCF10A	CL	4
P54819	MCF10A	CL	4
Q13596	MCF10A	CL	4
Q9BUF5	MCF10A	CL	4
Q9NQS1	MCF10A	CL	4
Q6ZSZ5	MCF10A	CL	4
Q86XP3	MCF10A	CL	4
Q9UEE9	MCF10A	CL	4
Q9UL25	MCF10A	CL	4
P30837	MCF10A	CL	4
P43487	MCF10A	CL	4
Q06323	MCF10A	CL	4
Q9Y608	MCF10A	CL	4
O95336	MCF10A	CL	4
Q96IZ7	MCF10A	CL	4
Q96AG4	MCF10A	CL	4
Q8WXI4	MCF10A	CL	4
Q15334	MCF10A	CL	4
Q92797	MCF10A	CL	4
Q9H6B4	MCF10A	CL	4
P27144	MCF10A	CL	4
O75843	MCF10A	CL	4
