Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
TRPC3_HUMAN				3								
NACAM_HUMAN				2		2				1	2	3
SSBP_HUMAN	2	2	1	1	4	3	4	4	4	1	1	
CASC1_HUMAN	3		3					4				
DYH5_HUMAN				5	4	6	4	4	4			7
EDF1_HUMAN							1					
PDZD4_HUMAN							4			3		4
CMTA1_HUMAN					2				3	3		
DYHC1_HUMAN			2	3		3	3	7	3		7	6
SPB6_HUMAN				3				2				
ANR31_HUMAN	3	3		3	4		3	4	3	3	5	4
CAPS1_HUMAN							4	2	4			3
DI3L2_HUMAN												3
CC113_HUMAN					2					3		2
S10A8_HUMAN						2						
PTN13_HUMAN				2	3	3				4	5	3
DDX6L_HUMAN					4			3	4	3	5	
XDH_HUMAN					3							
GANP_HUMAN				3	3						2	2
SH3K1_HUMAN					2	2						
FHAD1_HUMAN					2	4	3			4	2	
HERC1_HUMAN	5	2		4	4	7			3	5	5	2
SPTCS_HUMAN	3			4		4	5	3	4		4	3
RRP1_HUMAN				1						3	4	3
ZC3HD_HUMAN		2	3	2			2	4				
LMNB1_HUMAN		2				3						5
FA98A_HUMAN										5	3	3
K2C72_HUMAN			5		4	3	3		2	5	3	
PRS6A_HUMAN			3	4	4		5		4		5	4
AATF_HUMAN										3	3	4
RM02_HUMAN					1	1				2		
GOG8A_HUMAN		2										
GOG8B_HUMAN		2										2
FA21C_HUMAN												2
FA21A_HUMAN												2
PLCD1_HUMAN												2
MYO5B_HUMAN				3					5		4	2
ECD_HUMAN			2									
CSKI1_HUMAN			2		2		2	3	4		2	5
ZFAN4_HUMAN						2						
GNDS_HUMAN						2						
SPAT7_HUMAN						2						
RM01_HUMAN				2	3	1	3	2	3	3	3	4
WDR3_HUMAN					1						6	
RMXL3_HUMAN				2			2				2	2
E2AK2_HUMAN								2		5	3	4
SYIC_HUMAN				5	3	4		4	4		4	
FAN1_HUMAN					4	4	2					
RM42_HUMAN						1						
KTN1_HUMAN				3	4	4		3	5	8	6	6
K2C73_HUMAN		6	5	6	5	4	4		3		5	4
PAP1M_HUMAN				4	3	2			2	3	3	2
FYV1_HUMAN		3			2		2		2			
RN213_HUMAN	4	4	3	5	7	9	5	5	5	8	5	6
TCF7_HUMAN	3											
GOGA3_HUMAN	3	3	4	5	4		4		4	4		4
