Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
DYN2_HUMAN				3				2	2	3	4	
DYN1_HUMAN								2		3		
CTGE2_HUMAN				2								
TRI36_HUMAN					3							
CAC1H_HUMAN				2	4					3	4	
LRC53_HUMAN					2							
PCDC2_HUMAN				3	2					3		
KDM6A_HUMAN										3		
SORC1_HUMAN												2
RS5_HUMAN						1						2
UBA1_HUMAN											3	2
PLCB2_HUMAN				4	2			2			2	
RHG17_HUMAN											2	
ADGB_HUMAN				3				2			3	
CAC1I_HUMAN					2					3	4	
NDUF5_HUMAN										2		
PRP4B_HUMAN										3		2
MGA_HUMAN									3	3		2
CSTN3_HUMAN		2										
PIM1_HUMAN							2					
INP4B_HUMAN		2			3	3	2					
STAP2_HUMAN		2										
ANKE1_HUMAN					3			3				
TB182_HUMAN		2			4		5	3	3	3		3
UGGG2_HUMAN									1	3	2	
UBE4B_HUMAN		3										
SSRA_HUMAN				2	2							
MUC16_HUMAN		3	3	7	8	6	5	6	3	4	6	8
CFA47_HUMAN				2	3	2		3			3	
SCN9A_HUMAN							2				2	3
FP100_HUMAN									2			
RERE_HUMAN									2			
TNAP2_HUMAN							2		2			
CXA4_HUMAN							2					
WRN_HUMAN				3			2					3
DSCL1_HUMAN						2		3			4	3
ZY11B_HUMAN		2										
TACC3_HUMAN		2										
TRPV6_HUMAN		2										
KAP1_HUMAN						2			2			
GP162_HUMAN		2				2						
ZNHI2_HUMAN		2										
PAR3L_HUMAN		2										
PEX6_HUMAN		2				2					3	
BIG2_HUMAN						2					3	
SCML1_HUMAN											2	
TDRD7_HUMAN					2							
THYG_HUMAN					2					4	4	
SYT9_HUMAN							2					
DESP_HUMAN	3	13	4	8	8	2	3	3	6	3	4	3
TMTC3_HUMAN	3		2				3	2	3			
KPB2_HUMAN		2										
CP250_HUMAN		2		4	3			3	3	4	2	5
GOG8O_HUMAN												2
GOG8N_HUMAN												2
SPAT5_HUMAN					3				2			
SMYD2_HUMAN					2	2						
AP2A1_HUMAN					2							2
NBEL2_HUMAN											4	2
CO1A1_HUMAN											4	
SYNP2_HUMAN			2				2					
LIN9_HUMAN			2									
ANK2_HUMAN		2	2	5	4	2	4	4		4	4	4
VNN3_HUMAN				2								
VNN1_HUMAN				2								
G3ST4_HUMAN				2								
Z518A_HUMAN		3	2	2		2					2	
FARP1_HUMAN											2	
PLCG1_HUMAN											2	
FAKD1_HUMAN												3
MROH5_HUMAN											2	2
CUL2_HUMAN				2								
ACATN_HUMAN								2				
LIMC1_HUMAN				3				2			2	
PANK3_HUMAN		2										
DLEC1_HUMAN		2		3	3	2		4				
AIMP1_HUMAN		2										
SPTN4_HUMAN	3	2		5	3	2	5		4	5	2	3
TRPC7_HUMAN	3											
SP14L_HUMAN					2							
TN13B_HUMAN							2					
WDR70_HUMAN				3	2		2				2	4
NNTM_HUMAN											3	2
G3P_HUMAN				1	1	1	2	1	1			
PGTA_HUMAN				2							2	
GOG6B_HUMAN												2
GOGA2_HUMAN												2
ATPA_HUMAN												2
SPTN2_HUMAN		2		5		4	4		3		3	2
PDE2A_HUMAN											2	
WDFY4_HUMAN											3	
TNKS1_HUMAN											3	
GDE_HUMAN								2			3	
M18BP_HUMAN					2	3						
IRS4_HUMAN					2							
S31A7_HUMAN						2						
ARHG4_HUMAN						2						
PLPP3_HUMAN						2						
IGSF3_HUMAN						2						
SF3B4_HUMAN						1						
ITA5_HUMAN								2				
STAG3_HUMAN					2	2	2	2				
FYN_HUMAN								2				
RTF1_HUMAN					2			2				3
LMTD2_HUMAN			3									
UBP13_HUMAN		2	2									
PRP16_HUMAN	2	2						2	3	2	2	2
NB5R4_HUMAN								3				2
SMRCD_HUMAN											3	3
DAAM1_HUMAN							2					
TMPS7_HUMAN				2			2					
CLIC6_HUMAN					3							
UBP25_HUMAN				2	3					2	2	
KMT2C_HUMAN				4					2			
ITAM_HUMAN					3				3			
SMTN_HUMAN		2		4	3	3	2		3	3		
FCERB_HUMAN												2
CO4A4_HUMAN												2
MBNL1_HUMAN												2
RHG42_HUMAN												2
PTN14_HUMAN												2
DEP1A_HUMAN												2
HDAC5_HUMAN				2		2						
XPO7_HUMAN				2								
MYT1L_HUMAN				2								
ARAP1_HUMAN				2								
ITAD_HUMAN				2						2		2
RL7L_HUMAN				5	8	7	5	6		2	7	7
MSH6_HUMAN								2		2		3
SLTM_HUMAN							2			2		
SYF1_HUMAN											2	
MRP4_HUMAN				2					3			2
UBXN1_HUMAN												2
R3HD1_HUMAN												2
RPC5_HUMAN				2				2				
GP158_HUMAN				2			3					
BHE22_HUMAN				2		2						
ASAP1_HUMAN		3		2	3				3	2	2	2
ABCA8_HUMAN									2		3	
BRWD3_HUMAN									2			
RS27_HUMAN				1					1		1	1
RS27L_HUMAN									1		1	1
CC154_HUMAN				4			2					
GPR98_HUMAN				5	2	3	4	3	5	2	3	3
NAT10_HUMAN										2		
CASZ1_HUMAN								3				
MYPT1_HUMAN				3	3	2	2	2	2			3
PCID2_HUMAN				2								
AACS_HUMAN				3			2					
F192A_HUMAN				2			2		2			
FBN2_HUMAN								2				
JMY_HUMAN				3				2	3	3		3
CC175_HUMAN											1	
SEPT4_HUMAN											1	
LRC27_HUMAN				2								
AF1L1_HUMAN				2								
DYXC1_HUMAN				2	2							
PRDM2_HUMAN				2	3		2				1	2
CC171_HUMAN										2	1	
INHBC_HUMAN										2		
PSD3_HUMAN							2					2
PDXD1_HUMAN												2
FCHO1_HUMAN		2	2	3	2							2
EMSY_HUMAN										2		2
PROB1_HUMAN							2					
UNC79_HUMAN					4		2	2			3	
F184A_HUMAN				3						2	3	3
MGAL_HUMAN				3						2		
ADAP2_HUMAN											2	
VPRBP_HUMAN				2		3	3	2	3			
WDR7_HUMAN								2				
KIFC2_HUMAN				2				2			2	
NLS1_HUMAN									2			
LAMC1_HUMAN						2			2			
SMC3_HUMAN						2	2		2	2	2	
PARN_HUMAN					2							
RHPN2_HUMAN						2						
PAR4_HUMAN						3						
HHIP_HUMAN									3			
CY24B_HUMAN					2	2			2		3	
PIEZ2_HUMAN							3	3				4
TNIK_HUMAN				3		4			3			
MYO3A_HUMAN				3				4		2	3	3
ADCY6_HUMAN										2		
ZN541_HUMAN										3		
HCFC1_HUMAN				3			2			2		
AOFA_HUMAN		2										
SORT_HUMAN		3										
FLNC_HUMAN				2								
ANR35_HUMAN						2			2			
SCND3_HUMAN				2		2						
KIF1C_HUMAN		3	2	2				3	2		3	
YYAP1_HUMAN						2						2
F16B2_HUMAN						2						
GON4L_HUMAN						2			3			2
ZN711_HUMAN						2	2	2				
CLIP2_HUMAN					2	3	2	3			3	2
CEP68_HUMAN											3	
WDR36_HUMAN												2
NIBAN_HUMAN												3
NOS1_HUMAN					2							3
ASIC3_HUMAN			2									
DHX33_HUMAN		2	2		2							3
3BP1_HUMAN				3	3		2				3	3
TRM1L_HUMAN					2							
RFWD2_HUMAN					2							
FRPD2_HUMAN						2			2			
DDX28_HUMAN					2	3		3		2	3	
DYH3_HUMAN				3			2		3	3	2	
RASL2_HUMAN					2				2			
RAS4B_HUMAN					2					2	2	
ARHGC_HUMAN								2		2		
OXSR1_HUMAN										2		
MCRS1_HUMAN										2		
IF172_HUMAN	2	3	2							2		
S31D3_HUMAN							3		2			4
CRBG3_HUMAN				4	4	3	3		3		4	4
NEB2_HUMAN			2									
TTBK2_HUMAN				4								
ICE1_HUMAN	2		2	3		2			2		4	3
ATRN1_HUMAN	3											
POTED_HUMAN					2							
CMC2_HUMAN					2							
KIF1A_HUMAN	2	3			2							
RSBN1_HUMAN					2							
FMN2_HUMAN	3			3	2							
TUFT1_HUMAN						2						
DAG1_HUMAN						2	2				4	
EPG5_HUMAN				3		3	3			4	3	3
KI20B_HUMAN	2	4		5	3	5	5	3	6	3	7	4
IQCG_HUMAN	2					3						
TNPO2_HUMAN											2	
TNPO1_HUMAN									2		2	
PRSR2_HUMAN				2		2						
CHD6_HUMAN				2	3	2	4		2	5	3	
AINX_HUMAN					2		3			3	4	4
PIBF1_HUMAN											2	
DCTN1_HUMAN				3		4					3	
SIGL8_HUMAN									2			
TBKB1_HUMAN									2			
PHF3_HUMAN									2		3	
I20L2_HUMAN										1	1	
PPR26_HUMAN							2		2		2	
PDIA2_HUMAN					1						2	
ATL4_HUMAN											2	
CP1A2_HUMAN						2						
AIM1_HUMAN				2		2						
ADSV_HUMAN				2	3							
SLIK2_HUMAN				2					2			
HXB3_HUMAN				2								
UBR5_HUMAN				2				3	2			
SPI2A_HUMAN				2			1					
PHF19_HUMAN				2							2	
TLR7_HUMAN				2								
TTC14_HUMAN				3								
CFTR_HUMAN				2								
AP5Z1_HUMAN				2								2
PGM1_HUMAN												2
DDIAS_HUMAN											2	2
IMA1_HUMAN										2	1	1
ORC6_HUMAN								2				
DYH10_HUMAN				3		3	4	2	4		3	2
LMTK1_HUMAN												2
CO4B_HUMAN				3	2	2						
CO4A_HUMAN				3	2	2						
LCOR_HUMAN						2						
MCM2_HUMAN				2		2	3					
BRWD1_HUMAN					3		3		2			
GRP78_HUMAN							3					
4F2_HUMAN				3	3		3	3	4	3	3	2
MYO1C_HUMAN											3	
RHG06_HUMAN								4	3			
SOGA1_HUMAN				2	2		3	3	3			4
RIMS4_HUMAN							2					
SARM1_HUMAN					3		2				3	4
ZC3HF_HUMAN										3	1	2
LIPA2_HUMAN				2								2
PHF2_HUMAN					2			2		3		2
TEX10_HUMAN										2		
MS3L1_HUMAN				2	2	2						
DI3L1_HUMAN				2				2				2
STK36_HUMAN				2				2	2			
CTND2_HUMAN				2		2						
GRIN1_HUMAN				3		3						2
THSD4_HUMAN												2
NOTC3_HUMAN										4		2
NCPR_HUMAN					2							
ROS1_HUMAN						2						
CNTP1_HUMAN						2						
PTPRB_HUMAN				3	2	2						3
TECTA_HUMAN					2							2
EIF2D_HUMAN										4	3	2
AN18B_HUMAN			3							3		3
AN18A_HUMAN			3							3		
SRRM1_HUMAN					2		2					2
CQ096_HUMAN					2							2
TLE4_HUMAN												2
LRC45_HUMAN							2					2
PLPL4_HUMAN												2
TSH1_HUMAN				2				2		3		2
ZMY12_HUMAN						2						
DOCK3_HUMAN				5		2				3		
CC180_HUMAN				4	3		4	2			3	3
ASH1L_HUMAN	3			2	2	3	4	2	2	3	3	2
WWC3_HUMAN											3	
NPAS1_HUMAN								2				
FACR1_HUMAN								2				
CSKI2_HUMAN							2	2			2	
PARG_HUMAN							2				2	
INT8_HUMAN												2
SGSM1_HUMAN												2
DDX41_HUMAN												2
ELP1_HUMAN												2
GRM2_HUMAN							2		3		2	2
PASK_HUMAN				3								
BICL2_HUMAN				2								
CYTSB_HUMAN				2							2	
KAT7_HUMAN											3	
PDLI2_HUMAN				1								
ATS18_HUMAN				1								
E2AK3_HUMAN		2		1								
MAST3_HUMAN		2		3								
CAN10_HUMAN		2										
CRCC2_HUMAN		2				2	4		2		3	
VWF_HUMAN					4	4		2		2	2	3
PA24B_HUMAN				2			3	2				
SMBP2_HUMAN				3						2	2	
HTR5B_HUMAN			2				2		2	2		
TDR15_HUMAN										2		
NFAC3_HUMAN				2								
FES_HUMAN				2								
MBP_HUMAN					2							
MMP24_HUMAN					2							
CCD57_HUMAN				2	2					3	4	
UBE4A_HUMAN							2					3
MYCD_HUMAN												3
BMP7_HUMAN					2							
MPND_HUMAN							2					
TF3C2_HUMAN							2					
RSF1_HUMAN							2					
LZTS1_HUMAN							2					
ITSN1_HUMAN							2					
MTMR3_HUMAN							2					
STAG1_HUMAN					2		2					
SGSM3_HUMAN				2	2		2	3		3	4	3
CLC4F_HUMAN										2		
KDM3B_HUMAN						2						
INT7_HUMAN				2		2	2		2	2		3
TRPM7_HUMAN			3	2	3			2	2	2	3	
ZBED6_HUMAN								2		2		
TCPW_HUMAN										2		
CD1B_HUMAN									2			
NKTR_HUMAN									2			3
DNJ5B_HUMAN												2
PLIN4_HUMAN										2		2
LRC36_HUMAN											2	
CX023_HUMAN					2							
HIF1A_HUMAN					2							
MAGC2_HUMAN					2							
VPS51_HUMAN								2				
MARH7_HUMAN								2				
DYH6_HUMAN	3	3		3	2		3	2		3	2	3
LITD1_HUMAN										2	3	4
TERT_HUMAN				2		3	2	3	3	3		4
SP16H_HUMAN					2	3						
COCA1_HUMAN				3	2	3	4					2
RGPS2_HUMAN				2								
SAMD1_HUMAN				2								
AN30B_HUMAN				2	2							3
PCDB5_HUMAN									2		3	2
TBCD4_HUMAN					4						4	
PREX2_HUMAN											4	
TRI69_HUMAN												2
HILS1_HUMAN							2					
CE170_HUMAN				4	2		3	3				3
DDX59_HUMAN				4						3	3	2
RGPD1_HUMAN						2		3	4			3
RGPD2_HUMAN						2		3	4			3
RGPD4_HUMAN				3		2		3				3
RGPD3_HUMAN				3		2		3				3
RGPD8_HUMAN					3	2	3	3				3
RGPD5_HUMAN					3	2		3				3
SOS1_HUMAN									4		3	3
CABL2_HUMAN						2						
K1671_HUMAN				4		2		3			4	5
PIGO_HUMAN				2								
K2026_HUMAN				2	2	4				3	3	3
COFA1_HUMAN			2									
FGD2_HUMAN			2								2	1
HMGN5_HUMAN				2			2					
SPAG1_HUMAN				2	2		3					2
BFAR_HUMAN												2
PLD1_HUMAN												2
NYAP1_HUMAN							2				2	2
RGF1A_HUMAN												2
C56D1_HUMAN												2
SYEM_HUMAN				2								
ER6L2_HUMAN				2								2
NALP8_HUMAN										4	2	1
DOCK4_HUMAN				3		2						
AIFM1_HUMAN					2							
ISLR2_HUMAN							2					
PO210_HUMAN								2				
KMT2D_HUMAN				4	2	2	2	2	4		3	3
NINL_HUMAN											3	2
SRSF3_HUMAN				4	5	5	4	3	2		2	2
CUX1_HUMAN											3	3
SETD3_HUMAN											3	
TNIP1_HUMAN											3	
B4GN1_HUMAN											3	
SAS10_HUMAN												1
ZN462_HUMAN			2				3				3	2
ASXL2_HUMAN				7	7	7	3	3	3	3	3	2
E41L1_HUMAN								4			4	
EIF3D_HUMAN					2	1				2	3	1
CAN6_HUMAN										3		
LONF3_HUMAN				2	4		4	3	2	3	3	3
TEF_HUMAN				3								
CD109_HUMAN				2								
CUX2_HUMAN				2	3	2	3	2		3	3	3
E41L3_HUMAN					3		2				2	
E41L2_HUMAN											2	3
DEDD_HUMAN											2	
S3TC1_HUMAN							4					
IQGA2_HUMAN						3	3		3		2	
VGF_HUMAN						3						
TMOD2_HUMAN						2					2	
WDR37_HUMAN								3				
AT8B3_HUMAN				3				2				
PHLP1_HUMAN				4			3		2		2	
MRCKG_HUMAN				3		3	2		2	4	2	2
PLXD1_HUMAN				3				2		3		5
TRPC5_HUMAN				4	3							
PAXI1_HUMAN							3					
DAPLE_HUMAN				3	3		4		3	4	2	4
NFH_HUMAN	2			2	3	4	3		2	3	2	
WHAMM_HUMAN											3	
MYOM1_HUMAN				3			2				3	
AKD1B_HUMAN												2
CCD33_HUMAN	2			2							3	2
ZHX3_HUMAN	2			2								2
PI5PA_HUMAN							2					
RS10_HUMAN				4	3	6	1	1	3	1	2	2
MED24_HUMAN		3								2		
RAN_HUMAN												1
NKRF_HUMAN										2	5	1
DMD_HUMAN	2	2	4		3	2	2		3	2	4	3
RN123_HUMAN								2				4
CORO7_HUMAN				3								
PERI_HUMAN				2			2	4			3	5
CU140_HUMAN							2					
QSOX2_HUMAN							2					
LONM_HUMAN							2					
ECHP_HUMAN							2					
HERC2_HUMAN	4		2		3	3	2	3	4		4	5
B2L12_HUMAN												2
DGKK_HUMAN							2					
NPTX1_HUMAN							2					
AASS_HUMAN				2			1					2
DDX25_HUMAN											2	2
PTPRR_HUMAN				2								
TT21B_HUMAN				3	2		3					
PYRD_HUMAN					2							
CK098_HUMAN				2	1			1				
PI4KA_HUMAN				3								
SAMD9_HUMAN	2	2		3		2			2		2	
RED_HUMAN										2	2	
IFT88_HUMAN	2	2								2		
CO5A2_HUMAN			2	2	2		4		2			
ARGAL_HUMAN						3						
IMPA3_HUMAN						2						
ABCAC_HUMAN	2	2	2	2	2	2					3	3
ENO1_YEAST						2	2					
SYNEM_HUMAN						3						
SLX4_HUMAN	3	2				2	3					
RM37_HUMAN										4	4	5
THAP4_HUMAN				2								
JPH2_HUMAN				3	3			2				
ANR17_HUMAN	3			3	4	4			3	6	6	6
CLC14_HUMAN										3		
RPOM_HUMAN					2				2			
MIPEP_HUMAN					3							
BAHC1_HUMAN				6	4	6	2		3	3	4	5
TET3_HUMAN		3			2		4		2	3	2	
SPEF2_HUMAN	2			3	3	2	3			3		1
NRG1_HUMAN						2						
NEU1_HUMAN						2						
AGO4_HUMAN						2						
PDE8A_HUMAN						2						
PCYOX_HUMAN						2	3					
CE162_HUMAN				2		2						
GPC6A_HUMAN					2							
NISCH_HUMAN	3	3		2	2		2					
BRPF1_HUMAN	2			2	3				2		3	
KDM4E_HUMAN												2
CO6A3_HUMAN	3		2				2		2			2
EIF3G_HUMAN										1	2	4
TSN14_HUMAN												2
AL8A1_HUMAN			3									
AKP13_HUMAN			3	2	2	2		2	2		3	2
TRIO_HUMAN				4		3	3			4	3	4
TYK2_HUMAN					3							
MYCB2_HUMAN		4		6	3	5	4	4	5	5	7	
SRPK1_HUMAN											2	
LIPA3_HUMAN							2				3	
MORC3_HUMAN											3	
SMC5_HUMAN			2		2	2	2	2			2	
GEMI4_HUMAN								2	3	4	2	
PCLO_HUMAN	2		4	7	5	5	6	3	5	4	8	6
TGM1_HUMAN										3		
SMG8_HUMAN					2				2			
SYTC2_HUMAN								2	2			
ACBD5_HUMAN					2		2	2				3
TAF1L_HUMAN							2					3
TAF1_HUMAN												3
TSP1_HUMAN				3								
NTM2E_HUMAN							2					
RYR1_HUMAN	2			7	3	2	2	3	3	3	5	4
RYR2_HUMAN	2			5	5	6	3	4	3		6	6
SAMH1_HUMAN	2											
C144C_HUMAN			2									
OPLA_HUMAN								2				
PLPL6_HUMAN			2	3				3				
CDK2_HUMAN									2			
TEP1_HUMAN			1	2	3		3		3	5	4	4
JERKL_HUMAN				2								
COG8_HUMAN				2								
UBP28_HUMAN				2								
WASH6_HUMAN				2								
WASH3_HUMAN				2								
WASH1_HUMAN				2								
WASH2_HUMAN				2								
WASH4_HUMAN				2								
GUC2F_HUMAN				2								
PTGIS_HUMAN				2								
CI172_HUMAN				2								
STRCL_HUMAN						3						
STRC_HUMAN						3						
TICRR_HUMAN				2	4	4	3				4	
T132C_HUMAN				4							3	
CC020_HUMAN				2		2						
EXO1_HUMAN				2								
PAPOG_HUMAN									2			
MY15B_HUMAN				2					2			2
IDE_HUMAN				3							3	3
PSA3_HUMAN						2						
LRRF2_HUMAN						2						
MTRR_HUMAN							3					
FRPD3_HUMAN	2		6	2	3	2	5	4		5	3	3
PYR1_HUMAN				3	3						4	
KBTBC_HUMAN										3	3	
HYDIN_HUMAN	3		2	3	2	3	3	2	4	3	3	3
NEXN_HUMAN		2					2					
RN219_HUMAN		3										
UT14C_HUMAN				6								
CENPE_HUMAN		3	3	9	4	3	4	8	7	4	9	9
BPTF_HUMAN			2									5
ZDHC5_HUMAN			2									
CAC1A_HUMAN	3		2	5	2	3	4	3	2	4	6	5
SH2B1_HUMAN							4		5			3
GRB1L_HUMAN					2							
TAOK3_HUMAN							3		2			
S2A4R_HUMAN							2					
PTN21_HUMAN			2		2		2		2			2
CAPS2_HUMAN					2		2	2				3
YP029_HUMAN				2								
SET1A_HUMAN				2					2			
PHAR1_HUMAN				2								
WDR66_HUMAN				2			2					
SKOR1_HUMAN							2					
NGDN_HUMAN				1			2			2		2
QRIC2_HUMAN					2			2				
COG3_HUMAN					2							2
ANXA1_HUMAN												2
GPKOW_HUMAN		2										
RHG35_HUMAN				2			2					
COMA1_HUMAN					2							
SHP1L_HUMAN						2	2					
AGRE2_HUMAN							2					
DRC1_HUMAN								2				
BDP1_HUMAN		2		3	3	2	2	3				
LTBP3_HUMAN		2										2
DIM1_HUMAN										2	4	1
R3HD2_HUMAN				2						3		2
EEA1_HUMAN		5	4	5	7	4	5	3	7	5	4	
RHG18_HUMAN				2								2
DUOX2_HUMAN											2	2
IF4A1_HUMAN										1	1	2
IF4A2_HUMAN										1	1	2
RAI14_HUMAN	3				6		3	3	5	4		
WDR17_HUMAN						2						3
BCORL_HUMAN					2							
PHLB2_HUMAN	3	3			2							3
NBEL1_HUMAN					3	3		2				3
M3K1_HUMAN		2										
ZN449_HUMAN								2				
PCX1_HUMAN		2			3			2			5	4
K1C18_HUMAN						3					3	
K1H2_HUMAN			4						3		3	
XXLT1_HUMAN	2	2									3	
TYSD1_HUMAN									2			
NLRC5_HUMAN		3							2		3	
STK31_HUMAN				4						2	3	2
CARL1_HUMAN										2		
CKP2L_HUMAN											2	
CUL9_HUMAN		2			3	4				3	2	3
INSM1_HUMAN	2									2	3	
LAMB3_HUMAN								2				
SF3B1_HUMAN							2	2				2
CO039_HUMAN												2
FBF1_HUMAN												2
PIWL4_HUMAN												2
CAC1F_HUMAN											2	2
PCDB7_HUMAN											2	
HERC5_HUMAN											2	3
NAL11_HUMAN											2	
MLXIP_HUMAN				2								
DPOLA_HUMAN				2						3	2	
CUL5_HUMAN				3					3			
MTMR5_HUMAN				3	3	3	4	3	4	3	4	3
ANLN_HUMAN				2		3				4		1
PLXA2_HUMAN								1		3		
MTF2_HUMAN											2	
CBP_HUMAN											2	
BTBD7_HUMAN										3	2	
TBB5_HUMAN												1
TBB3_HUMAN												1
TBB2A_HUMAN												1
TBB2B_HUMAN												1
MYPT2_HUMAN				3	2		2					3
TRA2A_HUMAN												2
FHOD3_HUMAN				3								2
LRIQ1_HUMAN	3			5		3	2		4	3	5	2
GEMI5_HUMAN	2											
DPP6_HUMAN				2								
CK5P2_HUMAN	3	2		3								
LMO7_HUMAN	3	2		4								
CDRT1_HUMAN	3											
RUXF_HUMAN	1	1	1	1	1		1	1	1			
RL10L_HUMAN											1	
RL10_HUMAN											1	
ACOT9_HUMAN								2				
SIX3_HUMAN				2				2	2		2	2
RHG32_HUMAN				2	2	5	3		2	3	2	
CENPJ_HUMAN						2	4		2	2		
RBM39_HUMAN										1	3	2
AT2A1_HUMAN										3		
ZN608_HUMAN						2						
PLXB1_HUMAN			2			2				2		2
CSN7A_HUMAN					2					2		
DOCK5_HUMAN						2			2	2		
SYVC_HUMAN										2		
PDE8B_HUMAN						3						
NFKB1_HUMAN				2	2	2					2	
LOX15_HUMAN											2	
RLGPB_HUMAN						2			3		3	
MARF1_HUMAN			2	4	3			3	2	2	2	2
FA8_HUMAN				2		2			2			2
TRPM2_HUMAN					2							3
PNISR_HUMAN												2
MYBPH_HUMAN												2
NEUL4_HUMAN				2			2					
SP202_HUMAN									2			
CAC1D_HUMAN				3					2	3		2
RHG31_HUMAN				2						3		
OTOAN_HUMAN				3				3		2		2
GNAI3_HUMAN										2		
GNAI1_HUMAN										2		
EI2BE_HUMAN												2
PLD3B_HUMAN												3
TGM2_HUMAN					3							2
KDM3A_HUMAN										2		2
CO6A5_HUMAN				4	3	4	2	2		2		
STB5L_HUMAN												2
SCLT1_HUMAN										2		2
ZSC20_HUMAN										2		
FHOD1_HUMAN					2				2	3		
ULK1_HUMAN		2										
CBPC1_HUMAN			2				2					
CJ076_HUMAN			2									
BAIP3_HUMAN		2	2									
EMSA1_HUMAN		2										
ARG28_HUMAN		2		3		3	2					2
BT2A1_HUMAN												2
KAPCA_HUMAN								3	2	2	2	2
PTK6_HUMAN										2		2
TBR1_HUMAN										2		
EOMES_HUMAN										2		
2A5E_HUMAN								2			2	
2A5B_HUMAN											2	
LNX1_HUMAN						3						
CBPC4_HUMAN	2			2		2	2	2	4	2	2	2
PCD10_HUMAN										2		
PCDA8_HUMAN					2							
THOC5_HUMAN				2	2					2		
ZMYM4_HUMAN	2									2		
SLFN5_HUMAN				2	2						3	2
ABCBB_HUMAN		2										
BBS7_HUMAN		2			3			2				2
WDR90_HUMAN					2							
PKHL1_HUMAN	2	2		4	2						4	2
MYH10_HUMAN				5	3	2	2				5	
CCD30_HUMAN									2			
LRP12_HUMAN									2			
NBAS_HUMAN							2	2	2	3	5	
MA2C1_HUMAN							2				4	
BAZ1B_HUMAN	2		3		2	2	3		2	4	4	3
HESX1_HUMAN					2							
DDX46_HUMAN					2							2
NOBOX_HUMAN												2
POMT1_HUMAN									2			
KCNQ2_HUMAN									2			
KS6A4_HUMAN									2		2	2
S27A4_HUMAN											2	
ERCC5_HUMAN											2	
MUT7_HUMAN											2	
ARHGA_HUMAN					2							
SNX9_HUMAN					2							
KCNB1_HUMAN					2							
GGA2_HUMAN							2					
CEP89_HUMAN					2		2					
EMAL6_HUMAN	2				2						2	2
C144A_HUMAN		2			2							
SGO2_HUMAN								2				
INHBA_HUMAN		2						2				
TDR12_HUMAN		2										
ARX_HUMAN					2		3					
NIPBL_HUMAN		2	2		2			2				
KI16B_HUMAN	2	2										3
ARMC4_HUMAN					3							
DPP3_HUMAN					3							
SKIV2_HUMAN					3				3			
NBPF8_HUMAN					2							
SYNE2_HUMAN	2	3		7	3	4	3	4	3		8	3
TARA_HUMAN	2											
NBEA_HUMAN		4	3	7	7		4		6	3	6	3
ANR44_HUMAN				3	4	3	2	3	3	3	4	3
IFT81_HUMAN										3		
MSH3_HUMAN							4		3		3	3
AT10A_HUMAN								2				
WDR81_HUMAN		3	2				2	2	2		3	
SHQ1_HUMAN						2			2			
PHIP_HUMAN					3	2			4	3	3	3
AHDC1_HUMAN			3									
FRY_HUMAN	2	3	2		3	3			2	3	3	4
CNDD3_HUMAN	3		3									
TANK_HUMAN												2
NUP50_HUMAN												2
TIAM1_HUMAN									3			
DYH17_HUMAN		2		5	2		4	2	2	4	4	2
S31D1_HUMAN	3			4			3			3		
PKN2_HUMAN				2		2		2				
FLNA_HUMAN	2	3		2	4							5
TIA1_HUMAN				5	3	3		2		4	4	3
XRCC6_HUMAN	2		2	2	6	6	3	4	3	10	7	9
LORF2_HUMAN	2							3				2
PHC1_HUMAN	2											
AMPD3_HUMAN												2
TPC13_HUMAN												2
SCUB3_HUMAN												2
DEFI6_HUMAN												2
OTOG_HUMAN					2						2	2
TF3C1_HUMAN	2			3			2	2			2	2
IPO7_HUMAN										3		
DPP4_HUMAN										2		
RXFP2_HUMAN										2		
RL23_HUMAN				3	3	2	5	3	2		2	2
CADH2_HUMAN		2		2	2	2			2	2	3	3
IQCB1_HUMAN						4						
FA5_HUMAN						3	2			3	3	1
QRIC1_HUMAN										2		
SMCA2_HUMAN												2
NRDE2_HUMAN								2				
CC105_HUMAN								2				
AT8A1_HUMAN									2			
NDUA8_HUMAN									3			
C2TA_HUMAN						2	2	2	2	2	2	2
SPA24_HUMAN										2		
MYOM2_HUMAN											2	
PP12C_HUMAN										2	2	
MROH1_HUMAN					3	3	3	2		2		
HMMR_HUMAN						2				2	3	3
K1614_HUMAN				2						2		
VAC14_HUMAN										2		
ANR65_HUMAN							2			2		
CTDP1_HUMAN										2	2	
KI13A_HUMAN				2	2	2	3		3		3	2
PCD15_HUMAN	2	3		2			2			3	4	
IF4G3_HUMAN	2										5	2
ATS15_HUMAN	2	2										
JARD2_HUMAN				2	3						3	3
NRIP1_HUMAN				3							3	
SORL_HUMAN					2	2						
CG072_HUMAN					2							
MET14_HUMAN					2							
NET3_HUMAN					2					5	3	
TSH2_HUMAN		2	2		4		5	4		5		
HS71B_HUMAN								2				
HS71A_HUMAN								2				
M4K3_HUMAN								3				3
MYOME_HUMAN				5	4	4	4	4	3	5	4	6
RECQ4_HUMAN											2	
PROM1_HUMAN											3	
F227A_HUMAN				2					2			
CC88B_HUMAN				2	3	3			2			
TRPM8_HUMAN				2								
LAP2A_HUMAN				2								
ASB17_HUMAN				2								
SPD2B_HUMAN				2	2		2		2			
TIM_HUMAN						2	2					
UBP4_HUMAN						2						
