Accession Number	NonStarved_A	NonStarved_B	Starved_A	Starved_B	Insulin_A	Insulin_B
Q07666|KHDR1_HUMAN	2	1	0	3	2	3
Q99879|H2B1M_HUMAN	2	3	6	9	9	3
P35613|BASI_HUMAN	2	6	5	7	2	3
P49750|YLPM1_HUMAN	2	1	2	2	0	2
O00567|NOP56_HUMAN	2	0	0	2	0	5
P63244|RACK1_HUMAN	2	5	1	2	2	3
Q9NX24|NHP2_HUMAN	2	2	4	5	5	3
P47914|RL29_HUMAN	2	2	5	5	0	5
P42696|RBM34_HUMAN	2	2	0	0	1	1
P15311|EZRI_HUMAN	2	5	2	0	3	5
Q96JB1|DYH8_HUMAN	2	4	1	0	1	5
P20290|BTF3_HUMAN	2	2	2	0	4	3
P06576|ATPB_HUMAN	2	3	2	1	1	2
P62269|RS18_HUMAN	2	2	1	4	2	1
Q9NWB1|RFOX1_HUMAN	2	5	5	0	0	2
P62829|RL23_HUMAN	2	2	0	2	0	1
P00558|PGK1_HUMAN	2	0	0	3	0	3
Q9BYD1|RM13_HUMAN	2	2	1	0	1	1
P37802|TAGL2_HUMAN	2	1	0	3	0	0
Q8WU90|ZC3HF_HUMAN	2	1	0	1	0	0
P55011|S12A2_HUMAN	2	1	0	0	0	0
Q15942|ZYX_HUMAN	2	0	0	0	0	2
P26373|RL13_HUMAN	2	0	0	0	0	0
P62318|SMD3_HUMAN	2	0	0	0	0	0
Q13185|CBX3_HUMAN	2	0	0	0	0	0
P62910|RL32_HUMAN	2	0	0	0	0	0
Q13895|BYST_HUMAN	2	0	0	0	0	0
P02675|FIBB_HUMAN	1	345	388	1	0	0
E9PAV3|NACAM_HUMAN	1	1	2	1	5	5
Q9Y490|TLN1_HUMAN	1	2	6	7	10	4
Q9Y4L1|HYOU1_HUMAN	1	3	15	11	10	6
Q6PKG0|LARP1_HUMAN	1	8	3	10	9	11
Q9BUJ2|HNRL1_HUMAN	1	4	7	4	6	6
P06756|ITAV_HUMAN	1	5	9	8	4	9
P08621|RU17_HUMAN	1	4	7	7	5	4
P11279|LAMP1_HUMAN	1	1	8	3	5	1
Q7L0Y3|MRRP1_HUMAN	1	1	0	0	0	1
Q96T37|RBM15_HUMAN	1	2	5	7	2	1
REVERSE14545	1	0	0	0	0	0
P46976|GLYG_HUMAN	1	2	1	7	7	11
Q92542|NICA_HUMAN	1	1	6	5	4	3
A6NHT5|HMX3_HUMAN	1	5	3	5	6	3
Q9BUQ8|DDX23_HUMAN	1	1	0	6	2	1
P29558|RBMS1_HUMAN	1	3	4	6	3	0
Q6PD62|CTR9_HUMAN	1	0	0	0	0	0
P27797|CALR_HUMAN	1	0	0	0	5	3
P21127|CD11B_HUMAN	1	0	5	0	3	3
REVERSE5052	1	0	0	0	0	0
Q1KMD3|HNRL2_HUMAN	1	1	1	4	2	1
Q9BYG3|MK67I_HUMAN	1	2	2	0	0	3
Q9H0D6|XRN2_HUMAN	1	0	2	0	3	1
Q9NW13|RBM28_HUMAN	1	0	0	2	2	3
Q15061|WDR43_HUMAN	1	2	2	0	1	1
P35052|GPC1_HUMAN	1	1	1	3	1	1
Q6UN15|FIP1_HUMAN	1	0	2	2	1	0
O60832|DKC1_HUMAN	1	1	1	0	2	3
P62851|RS25_HUMAN	1	0	3	1	0	3
Q9NTK5|OLA1_HUMAN	1	1	0	0	0	1
Q6P5R6|RL22L_HUMAN	1	2	2	0	1	2
P78371|TCPB_HUMAN	1	1	1	0	0	2
Q8N983|RM43_HUMAN	1	2	2	0	0	0
P69905|HBA_HUMAN	1	1	1	0	0	1
P62750|RL23A_HUMAN	1	2	0	1	0	0
P62913|RL11_HUMAN	1	0	1	0	1	0
P68431|H31_HUMAN (+3)	1	1	1	0	0	0
Q5JWF2|GNAS1_HUMAN	1	0	0	1	2	0
P62266|RS23_HUMAN	1	1	1	0	0	0
P53999|TCP4_HUMAN	1	1	3	0	0	0
P47897|SYQ_HUMAN	1	0	0	0	0	2
Q96DH6|MSI2H_HUMAN	1	0	4	0	0	0
P42677|RS27_HUMAN (+1)	1	1	0	0	1	2
Q86UY6|NAA40_HUMAN	1	1	0	0	0	2
P04075|ALDOA_HUMAN	1	0	0	1	1	0
Q16563|SYPL1_HUMAN	1	0	1	0	1	1
P0DMU7|CT456_HUMAN (+5)	1	0	0	1	0	1
Q9NV31|IMP3_HUMAN	1	0	0	0	0	2
P05388|RLA0_HUMAN (+1)	1	0	3	0	0	0
Q14011|CIRBP_HUMAN	1	2	1	0	0	0
Q9BY77|PDIP3_HUMAN	1	1	0	0	0	0
Q9Y580|RBM7_HUMAN	1	0	0	0	0	0
P25398|RS12_HUMAN	1	0	0	0	0	0
Q9NW64|RBM22_HUMAN	1	0	0	0	0	0
Q9NV06|DCA13_HUMAN	1	0	0	0	0	0
P10599|THIO_HUMAN	1	0	0	0	0	0
Q8ND56|LS14A_HUMAN	1	0	0	0	0	0
Q8NF91|SYNE1_HUMAN	0	0	2	0	0	0
Q13428|TCOF_HUMAN	0	2	15	22	11	11
O15042|SR140_HUMAN	0	8	12	8	10	17
Q86UP2|KTN1_HUMAN	0	0	0	0	0	1
Q9NVP1|DDX18_HUMAN	0	3	0	0	1	3
P78527|PRKDC_HUMAN	0	9	3	10	1	1
O43719|HTSF1_HUMAN	0	6	8	7	10	11
Q9NY93|DDX56_HUMAN	0	0	0	0	3	3
P46013|KI67_HUMAN	0	2	3	6	0	2
Q9NWH9|SLTM_HUMAN	0	0	6	0	13	0
P48681|NEST_HUMAN	0	5	0	0	3	7
Q7Z6E9|RBBP6_HUMAN	0	5	2	2	0	0
O14974|MYPT1_HUMAN	0	0	0	0	0	2
Q14108|SCRB2_HUMAN	0	2	6	5	1	1
Q7Z4V5|HDGR2_HUMAN	0	1	1	3	7	6
P49756|RBM25_HUMAN	0	0	0	0	6	5
Q5T6F2|UBAP2_HUMAN	0	2	3	4	3	3
P27708|PYR1_HUMAN	0	0	1	0	1	5
O43143|DHX15_HUMAN	0	4	2	0	3	2
P98175|RBM10_HUMAN	0	2	0	0	2	2
P13667|PDIA4_HUMAN	0	2	2	3	3	5
Q9Y5B9|SP16H_HUMAN	0	0	2	2	5	6
Q5JTH9|RRP12_HUMAN	0	5	0	2	2	3
Q08170|SRSF4_HUMAN	0	6	20	13	9	10
P06753|TPM3_HUMAN	0	0	0	1	0	0
P54577|SYYC_HUMAN	0	0	2	1	5	3
O43493|TGON2_HUMAN	0	1	3	4	6	6
Q14151|SAFB2_HUMAN	0	3	4	6	12	8
O95180|CAC1H_HUMAN	0	0	0	1	0	0
Q9BXR0|TGT_HUMAN	0	3	2	4	2	4
Q96ST2|IWS1_HUMAN	0	0	4	3	3	3
Q6P2Q9|PRP8_HUMAN	0	0	3	0	2	1
Q8TB72|PUM2_HUMAN	0	2	5	7	5	3
P49207|RL34_HUMAN	0	6	3	0	3	6
P26640|SYVC_HUMAN	0	1	3	0	3	3
Q96AY3|FKB10_HUMAN	0	0	0	1	6	2
Q6EEV6|SUMO4_HUMAN	0	0	3	0	6	5
Q04637|IF4G1_HUMAN	0	2	0	0	0	1
P55060|XPO2_HUMAN	0	0	0	0	0	2
Q8TDD1|DDX54_HUMAN	0	1	0	2	2	5
